"term","estimate","std.error","statistic","p.value"
"(Intercept)",3.16320122681432,0.0655418801416134,48.2622900041887,0
"host_since",-9.69047367804339e-06,7.68527281870517e-07,-12.6091472699027,1.88016269975018e-36
"host_response_timeN/A",-0.0326102939216142,0.00619887325651274,-5.26068086443819,1.43522949906916e-07
"host_response_timewithin a day",0.0481059927137139,0.00549363720364364,8.7566744818547,2.01095336418811e-18
"host_response_timewithin a few hours",0.0608037589138284,0.00607296839378727,10.0121974907743,1.34726159276617e-23
"host_response_timewithin an hour",0.0457778619507396,0.00612129773510237,7.47845700891628,7.52002927881156e-14
"host_response_rate",-0.00580045278948324,0.000596095208886504,-9.73074888543122,2.22945498114175e-22
"host_is_superhostt",0.0908826906334507,0.00158907668475074,57.1921364812589,0
"host_total_listings_count",0.000407476586521488,4.70760147940014e-06,86.5571540633915,0
"zipcode75000",0.392183786749675,0.077498991582261,5.0605018045092,4.1815450173297e-07
"zipcode75001",0.524402192018613,0.0633353921542255,8.27976545470283,1.23418121677165e-16
"zipcode75002",0.441026023754492,0.0634008608120828,6.95615198446079,3.49692603255041e-12
"zipcode75003",0.47166646347627,0.0632109535597293,7.46178370858752,8.53589273489005e-14
"zipcode75004",0.524973455300673,0.0630335138043498,8.32848152698804,8.18858449646835e-17
"zipcode75005",0.316624194149536,0.0629656313822152,5.02852408844371,4.94269430014674e-07
"zipcode75006",0.432349233384303,0.0633291884275123,6.82701364283513,8.67004534714045e-12
"zipcode75007",0.434731055357117,0.0633517270206278,6.86218159791548,6.78167741470108e-12
"zipcode75008",0.48280108258048,0.0633772298867963,7.61789499861155,2.57845904500733e-14
"zipcode75009",0.359897402560932,0.0633784757452865,5.67854304365623,1.35846850963323e-08
"zipcode75010",0.275394885440272,0.063381231378654,4.34505419743268,1.39241280496366e-05
"zipcode75011",0.246236306742726,0.0632883619200116,3.89070437711655,9.99536480633889e-05
"zipcode75012",0.133053447778862,0.0631423570588496,2.10719798842565,0.0351004212355149
"zipcode75013",0.0530058105406039,0.0630937006905825,0.840112562116928,0.400845277319004
"zipcode75014",0.195770531894272,0.0631585945295956,3.09966574386857,0.00193739146686307
"zipcode75015",0.341792982374278,0.0636353434824406,5.37111868451833,7.82496852651712e-08
"zipcode75016",0.626460823911286,0.0652534732475342,9.60042113827187,7.96184392633277e-22
"zipcode75017",0.431379406651775,0.0635170354480635,6.79155447997103,1.10931676372512e-11
"zipcode75018",0.12385404969218,0.0635792188717113,1.94802723106885,0.0514117049068334
"zipcode75019",0.107371201799164,0.0634610781548678,1.69192211858014,0.0906608240716074
"zipcode75020",0.0765715226801282,0.0635845222360816,1.2042478261585,0.228493805720762
"zipcode75106",0.63922660257979,0.119480117910657,5.35006672037082,8.79218110523436e-08
"zipcode75116",0.56923837677592,0.0650415626515598,8.75191729057064,2.09758116927709e-18
"property_typeBed and breakfast",0.321546686213672,0.00761145839012191,42.2450823131311,0
"property_typeBoutique hotel",0.667632637295212,0.00483474669570783,138.09051007531,0
"property_typeCondominium",0.0088714794092914,0.00316418120093861,2.80372040850878,0.00505166907785301
"property_typeHotel",0.286533926673043,0.00981875131591898,29.1823183471905,3.25123578890187e-187
"property_typeHouse",0.252428167002918,0.00384959351159614,65.5726809187847,0
"property_typeLoft",0.172290458843976,0.00285789356595076,60.2858206116081,0
"property_typeOther",0.176748473472617,0.00703891192011826,25.11019820655,3.84839344091048e-139
"property_typeServiced apartment",0.165400298177704,0.00436125094967114,37.9249669616411,0
"room_typePrivate room",-0.291400394489712,0.00206741403989137,-140.94921910515,0
"room_typeShared room",-0.574083743997149,0.00833522092555124,-68.874448454908,0
"accommodates",0.135577418076294,0.00047875660436793,283.186522837189,0
"bathrooms",-0.142643368218385,0.000827521467550936,-172.374220865279,0
"bedrooms",0.140849893799455,0.00084688047945235,166.316141671536,0
"bed_typePull-out Sofa",0.00612371004245838,0.00560325736554712,1.09288394998798,0.274444756068618
"bed_typeReal Bed",0.153351451276696,0.00497055079899836,30.8520036265596,5.26551868312136e-209
"guests_included",0.00164847158305153,0.000475352110115012,3.46789579339972,0.000524550654754326
"minimum_nights",-0.00300701988459721,0.000227970419471458,-13.1903950151466,9.96616533375111e-40
"number_of_reviews",-0.00142417681440165,1.55736232914092e-05,-91.4480071691004,0
"review_scores_rating",0.0496246764613632,0.000684921250717172,72.4531125430871,0
"cancellation_policymoderate",-0.00689393689336751,0.00129430517012194,-5.3263612419303,1.00199759551479e-07
"cancellation_policystrict",0.0752954390610663,0.00125634774336501,59.932004859892,0
"beds",-0.00929759782623359,0.000591214936177259,-15.7262566577749,9.99479606983011e-56
"summary_l",-0.000141084144821435,3.53364030995034e-06,-39.9260061710745,0
"l_quArchives",0.165587012728794,0.0104000562133831,15.9217420878659,4.47734936487983e-57
"l_quArts-et-Metiers",-0.0121094123785531,0.0103923077252373,-1.16522842651646,0.243926541942181
"l_quAuteuil",-0.138409503688998,0.0180420458047401,-7.67149718978286,1.7000020419373e-14
"l_quBatignolles",-0.109524189659225,0.00943865613016094,-11.6037906401997,3.94221367750742e-31
"l_quBelleville",0.0311415783289635,0.00916615767737863,3.39745173769141,0.000680165843980561
"l_quBonne-nouvelle",0.034158739509384,0.0109017964034342,3.13331291883451,0.00172845064168231
"l_quBonne-Nouvelle",-0.025364800088379,0.0103930998385097,-2.44054232928605,0.014665227168789
"l_quChaillot",0.148244984655936,0.0168662164058769,8.78946297666862,1.50276560029732e-18
"l_quChamps-Elysées",0.248912893891236,0.00870877269443709,28.5818567810633,1.12939178655916e-179
"l_quCharonne",-0.0236148103508625,0.00981341701551287,-2.40637999114199,0.0161114965603962
"l_quClignancourt",0.120586693507585,0.00817245430842742,14.755260654469,2.84589760456558e-49
"l_quCombat",0.0348795453723568,0.00616785693204348,5.65505097745527,1.55800024046676e-08
"l_quEnfants-Rouges",0.0861830381301429,0.0104983781515708,8.20917639714166,2.22710839566458e-16
"l_quEpinettes",-0.207694183949851,0.00952154190928941,-21.8130829994268,1.74324403891174e-105
"l_quFolie-Méricourt",-0.0143333662032899,0.00962679467236487,-1.48890328412592,0.136512838643166
"l_quGaillon-Vivienne",0.155274775628206,0.010098122375261,15.3765987237991,2.34971028260017e-53
"l_quGare",0.162867110615915,0.0124859210614541,13.0440605714472,6.86985483097697e-39
"l_quGoutte-d'Or",-0.0573861889674695,0.00931128042867996,-6.16308244682573,7.13423373541229e-10
"l_quGrandes-Carrières",0.17042951963025,0.00824514461062779,20.6702887188384,6.4131484529384e-95
"l_quGrenelle",0.193848407837509,0.0118491887238318,16.3596354447144,3.71344165923403e-60
"l_quGros-Caillou",0.275877116467875,0.00991982122138912,27.8106943977003,3.22071568332703e-170
"l_quHôpital-Saint-Louis",-0.0919976781078831,0.00931595653128615,-9.87527988123642,5.32840022082732e-23
"l_quHalles",0.0493278804417857,0.010419488119641,4.73419422100032,2.19927055335734e-06
"l_quJardin-des-Plantes",0.22174128409267,0.0103935304658287,21.3345489121044,5.42653901237307e-101
"l_quJavel 15Art",0.0596875208054496,0.0122562738107099,4.86995654040407,1.11622796426692e-06
"l_quMaison-Blanche",0.151721029777803,0.0117269345306566,12.937825258696,2.75312957764342e-38
"l_quMontparnasse",0.210026550140611,0.0108539031588566,19.3503246773703,2.02562140140632e-83
"l_quMuette",0.100970743215714,0.0174620205948206,5.78230581434905,7.36836011935387e-09
"l_quNecker",0.0393590313905384,0.0118248665193606,3.32849688629438,0.000873159810350488
"l_quNotre-Dame-des-Champs",0.191961600744559,0.0105853286455432,18.1346850128628,1.69668408089183e-73
"l_quOd�on",0.273419276200276,0.00963994700159243,28.3631513902628,5.7618677246269e-177
"l_quPère-Lachaise",0.0564817206154174,0.00956788195720438,5.90326269367151,3.56382117082716e-09
"l_quPetit-Montrouge",0.105839150724062,0.0123653333893124,8.55934469308695,1.13510865511591e-17
"l_quPicpus",0.061441542904508,0.00990301420197122,6.20432745540019,5.49313035105995e-10
"l_quPlaisance",0.0239491441875726,0.0123466540855412,1.93972747771549,0.0524128183624496
"l_quPorte-Dauphine",0.0607960887740772,0.0176158310683507,3.45121888023245,0.00055806078748247
"l_quPorte-Saint-Denis",0.0309811813250051,0.00950488315897928,3.25950154323961,0.00111608173349493
"l_quPorte-Saint-Martin",0.00912275530430124,0.00941183750785041,0.969285253457887,0.332402884832336
"l_quQuinze-Vingts",0.178306403163668,0.0106214223951473,16.7874317139607,3.01617594449266e-63
"l_quRochechouart",-0.0548504190224076,0.00804739984862088,-6.81591819148984,9.36635879664855e-12
"l_quRoquette",0.0655605763021039,0.00969851459484291,6.75985746693262,1.38127558263141e-11
"l_quSaint-Ambroise",0.0178424467537967,0.00985857294985631,1.80984071878849,0.0703204913876518
"l_quSaint-Fargeau",0.00230595502966433,0.010350248869882,0.22279223027906,0.823697215380159
"l_quSaint-Georges",0.0517600130215077,0.00766956218950927,6.74875719663726,1.49116883193677e-11
"l_quSaint-Gervais",0.132951177202649,0.0103115320176326,12.8934456078209,4.90044389347394e-38
"l_quSaint-Lambert",0.0400917135014678,0.0120267201767128,3.33355336387528,0.000857442218261648
"l_quSaint-Merri",0.114946628289187,0.0103570312281393,11.0984147635748,1.27688539332305e-28
"l_quSaint-Vincent-de-Paul",-0.0209459034282133,0.00952017550749515,-2.20015937854536,0.027795589231242
"l_quSainte-Avoie",0.0543192740129543,0.0104781687627937,5.18404267412008,2.17127218793166e-07
"l_quSainte-Marguerite",0.0181209978092899,0.00977069573455081,1.85462717308973,0.0636494850127255
"l_quTernes",0.111231259643834,0.00944572562832544,11.7758300442561,5.20026782891036e-32
"l_quVillette",-0.00769622627622044,0.00585708908230698,-1.3140019159806,0.188845559458935
"n_100",-0.0113896011736585,0.00119702321459805,-9.51493758413283,1.81822010772205e-21
"n_200",0.00168162485142566,0.000660323455555654,2.54666835969138,0.0108756735797296
"n_500",-0.0011366878944257,0.000279000447819813,-4.07414361986904,4.6183975606234e-05
"n_1000",0.00682215650018771,0.000150208184236601,45.41800791255,0
"mon_100",0.0733153745494004,0.0366733934706674,1.99914345554197,0.0455928344795261
"mon_200",0.118507589891041,0.0142281126498386,8.3291152387935,8.14487549223376e-17
"mon_1000",0.00763068294277452,0.001067631057747,7.14730326305548,8.84992219939046e-13
"nb_amen",0.00637385071840563,6.40772951523298e-05,99.4712823513101,0
