comments,N,lang,comment_in_english
Place was wonderful and Phoenice was very nice and hospitable.,1,english,
wonderful pop-art home,1,english,
I was met and made to feel very welcome.,1,english,
Neighborhood was great. Patty made us feel very welcome,1,english,
It was a nice stay... François’s was very helpful....,1,english,
"Pap was outstanding and very helpful. We enjoyed our stay and would look to book with you in the future.

Thank you.",1,english,
it's very good,1,english,
Gabrielle made us feel very welcome.  Awesome pad in an awesome hood.,1,english,
Very niceroom indeed. marion was very helpful. We had a great stay !,1,english,
Simply I feel like I was in my home! :),1,english,
I'm very satisfied.,1,english,
It makes you feel at home.,1,english,
Suzette was very nice and welcoming,1,english,
Emanuele is very helpful :),1,english,
It is a little noisy when sleeping.,1,english,
Serge was very helpful during my stay in Paris and always available if I was wondering something.,1,english,
"i stayed 7 days. very good location. OPERA is within 10 minutes walking distance. Carole is very kind host. we lost our luggages. So we called Air france but not be communicated.
Carole was glad to help our out. And we find luggages after 3days.
if i visit in Paris, stay again at Carole's studio.
thank you Carole.
",1,english,
"Homeowner very good, very happy first stop",1,english,
Small but very nice! Good view,1,english,
The stay was very good. Magda is a great host.,1,english,
Everything was fine. Sam was nice. Flat is OK.,1,english,
very warm welcome - we had a wonderful stay,1,english,
"Room was fine. Somewhat small, but big enough. ",1,english,
Alain was a very welcoming host.,1,english,
"very nice landlady,and wonderful room!",1,english,
Marie-Pierre was very kind.,1,english,
Viviane was very kind. The apt is in a wonderful location.,1,english,
Everything was very easy!,1,english,
very good｡very nice｡,1,english,
"Awesome stay, wonderful host!",1,english,
Awesome room. Super kind host.,1,english,
Awesome,12,english,
Sabine’s place was very cute.,1,english,
very nice hotel.We enjoy it,1,english,
wonderful house!,1,english,
We had a wonderful time.,1,english,
Great place. Virginie is very friendly too.,1,english,
Jeff was an excellent host. Very nice place. Thank you jeff,1,english,
"It's very nice,a wonderful trip ",1,english,
The host was very welcoming.,1,english,
Everything was very good,1,english,
Karen is very helpful,1,english,
Lise's room was very clean and easy to spend. I could sleep very well every day.,1,english,
We had a wonderful stay here. Nicole was a great host.,1,english,
Nice place. Great neighbourhood. Marie is very helpful.,1,english,
"A very lovely stay.
Thank you",1,english,
Very helpful host,1,english,
Wonderful Place. Near all tourist spots like Sacre Cour etc. 5 stars,1,english,
I enjoyed my stay in Segire's wonderful little house. A true gem in the middle of busy Paris.,1,english,
Maxime was very friendly and helpful - great host!,1,english,
Emmanuel was great. Very informative and helpful. Great host. Can't wait to visit again.,1,english,
"It is okay, just very noisy.",1,english,
The host was very kind. Pleasant stay.,1,english,
Marie is very helpfull & kind!,1,english,
Franck was very helpful. Good location.,1,english,
Didi was very helpful and nice.,1,english,
Lovely view,1,english,
He is very kind,1,english,
Wonderful host,3,english,
"Wonderful home in a wonderful neighborhood.
Everything was perfect.",1,english,
it's my home.,1,english,
Laurent was a very wonderful host. Highly recommend!,1,english,
Maguy was a wonderful host and we had a lovely stay!,1,english,
Maguy was very friendly and helpful. Her house is really well kept and she ensures you feel like home!,1,english,
"Sophie was very nice  and  a good host to us :)
We had a nice weekend-trip in Paris!",1,english,
Marjolaine was very hospitable and helpful.,1,english,
Jean-Baptiste is a great host. He was really nice and helpful. We would like to stay at JB again,1,english,
awesome,3,english,
very friendly host.,1,english,
Matthieu was lovely- very sociable and helpful :),1,english,
Very Good our stay was very pleasant,1,english,
"Elisa is a great host, very friendly and welcoming. She made me feel like home. 
",1,english,
Samuel was very welcoming. All was organised and clean. It made my stay in Paris very easy and enjoyable.,1,english,
Enjoyed our stay . Rafet was extremely helpful,1,english,
is was a nice house,1,english,
"We enjoyed staying here, it was very close to various metro stops and good value.",1,english,
very very good,1,english,
Deborah is a very great host,1,english,
City break au top,1,english,
very good!!,2,english,
very good trip~~,1,english,
"We enjoyed our stay! Cute neighborhood, easy to get around :)",1,english,
Sandra was very nice and helpfull.,1,english,
what a wonderful 'nest'.,1,english,
Sabrina was very friendly and helpfull!,1,english,
Soha was a wonderful host. She knew a lot about Paris and was very accommodating.,1,english,
Maguy was a wonderful host.,1,english,
Maguy was very helpful during my first visit to Paris.,1,english,
very good,43,english,
Awesome host!,2,english,
Amazing stay as always. Adel is very helpful.,1,english,
old style house...,1,english,
Didn't stay long but a great value.,1,english,
We had a wonderful stay.,1,english,
Teddy was a gentleman and very accommodating. Room was clean and near major metro.,1,english,
very clean house in quite area,1,english,
Very helpful,2,english,
Caroline is a good landlord,1,english,
very nice very good,1,english,
It was very good!,1,english,
"Good,the room is very warm.",1,english,
Exelente everything was good 5 stars,1,english,
very nice place.,3,english,
Very good stay. Johnatan was very helpful.,1,english,
Linda was very responsive. Good location if you like to walk.,1,english,
The neighborhood was very nice.,2,english,
Everything was amazing! Karine is wonderful!,1,english,
Wonderful house,1,english,
It was great! Lionel is a very trusty host!,1,english,
It was very nice flat,1,english,
very nice!,7,english,
Pauline is a good host! She is very nice:),1,english,
Yes and it was wonderful.,1,english,
Thank you Maguelone. We liked staying in your apartment.,1,english,
"very central , Christopher was so helpful ",1,english,
An awesome listing and an awesome host. Isabelle was very attentive and very kind. I felt at home!,1,english,
Dominique is a good host. Very responsive. We enjoyed our stay at Dominique’s.,1,english,
"Great value, very kind host. ",1,english,
Great flat in a great neighborhood! Me and my friends really enjoyed our stay here. Charles was very helpful.,1,english,
"Hey Lisa, it was beautiful week at your home. 

Thank you

Best, Robert",1,english,
Wonderful as always.,1,english,
The place is wonderful! Manuel was very friendly!,1,english,
"Great neighborhood - very safe. 
",1,english,
Lia is very nice.,1,english,
This plac was wonderful.,1,english,
Everything was wonderful!,4,english,
I had a great time. Everything was wonderful,1,english,
Habib was wonderful. Very helpful and kind. Great flat. Would love to visit again.,1,english,
Beautiful flat in a charming neighborhood. Adrien  was a great host. We very much enjoyed our stay.,1,english,
very good!,12,english,
"It was wonderful, very friendly. Great experince.
Thank you a lot and see you next time.",1,english,
Our stay was very comfortable.,1,english,
"Everything went really well, Daniel was really helpful.",1,english,
"Baptiste, was an excellent host, very kind and helpful.",1,english,
"Location was good, a little noisy at night. Good value.",1,english,
very good deal,1,english,
Loved it! Host was very helpful!,1,english,
Very very good house,1,english,
Very dirty. Owner not very nice.,1,english,
