comments,N,lang,comment_in_english
"Sylvain의 집은 매우 찾기 쉽고 분위기 좋다.
다만 길가에 위치하여 다소 시끄러운것이 아쉬운점이다.",1,albanian,
"Soha因加班未能見上一面,但她非常仔細地安排一切,令我們毫不受影响｡她还仔細交待如何去機場等等｡她的房間干淨舒服,周边很有特色,离运河不远,可以体驗靜逸的巴黎｡",1,albanian,
"房间特别干净,Soha还有一条超级可爱的小狗｡床也很舒服,每天回去休息一晚真的能让人refresh!远离市中心但交通很方便,距离公交站地铁站很近,Soha还给了我们很多很棒的建议｡能安心体验当地人的生活｡但因为临街半夜会有些吵,不过可以接受｡以及街头那家烘焙店真的超级赞!!!",1,albanian,
집은 작고 아담했지만 2일간 지내기엔 완벽한 집이었습니다. 집주인 silvia는 친절하고 파리가 처음인 저에게 많은 설명과 지도를 주었어요. 침대도 푹신하고 집 청소 상태도 괜찮았습니다. 다만 키가 큰 사람에겐 불편할 수 있으니 조심하세요.,1,albanian,
"Simon和他的朋友是非常热情好客的人,到达那天我比预期的晚到了一小时他见了我焦急地询问出了什么事,一旦得到答案才放心｡从第一天起他们就时常提醒你在巴黎应该怎么做,会告诉你参观游玩时要注意什么,哪里不要去｡作为旅游者当你有问题和困难时只要向他们求教,他们都会毫不犹豫地关掉投影机,和你坐下来一起讨论解决办法和商讨解决的可能性,让一个在外旅游的人有回家的归属感｡每当夜幕降临,看着那扇等待你回去的窗都倍感温暖｡他们都是旅游爱好者,英语很好,交流无障碍｡家里摆满了书籍､黑胶唱片､世界各地的旅游纪念品,画册等,如果你也是旅游达人可以和他们畅谈旅游体验｡Simon的家所在区域治安非常安全,交通方便,无论是往来机场､火车站还是景点都有直达车或地铁,有的景点只要倒一趟车就可到｡家里厨房用具可以随时使用自己做饭｡特别是阳台上种满了花花草草,小矮人藏在花草中像个童话世界,远望出去,可以看见一座大教堂,不远处的街心广场中矗立着非常棒的雕塑群,都是几个世纪前的作品,生活在那里安逸舒适便捷温暖,一个旅游者的家｡",1,albanian,
"入住Simon家的房子对于从巴萨过来航班被取消坐了15小时大巴的我们真是一种最最最好的福利 很庆幸住在这里,房东帮助了我们好多给了很多推荐,热情好客 家里面全是各种收藏黑胶唱片艺术气息很棒!我和我的女朋友爱死这里了,打开窗可以看到公园,忍不住用单反拍下",1,albanian,
Si,4,albanian,
初めてairbnbを利用させてもらったのですが､お部屋はとても広くて清潔で居心地が良かったです｡ﾎｽﾄのSilviaはとても親切でﾌﾚﾝﾄﾞﾘｰなので滞在中何不十なく快適に過ごす事が出来ました｡猫のｶﾞﾄｰは人懐っこくとても可愛かったです｡またﾊﾟﾘに行く事があればSilviaのｱﾊﾟｰﾄを借りたいと思います｡,1,albanian,
"Silvia 真的很热情,回复非常及时,有任何问题都可以得到快速解答｡而且会在入住前就把如何进入公寓说的清清楚楚,省去了大量沟通时间｡
房间面积不算大､住两个人还是ok的,性价比在巴黎内算不错｡
自己来到巴黎还不幸遇到了行李丢失的情况､silvia 也是积极协助,有任何更新情况都短信给我｡",1,albanian,
" 위치가 역에서 오르막길을 꽤가야해요. 다만 집바로앞에 버스가 중앙으로 바로 내려가서 용이해요.
 방음이 잘 안되는편이라는것빼면 아주 좋았어요. 사진보다는 조금 더 좁은데 아늑한느낌이고 둘이 사용하기엔무리가 없었어요. 화장실도 깨끗하고 부엌도 이용하기 좋았어요.
 Salvatrice는 사진보다도 실물이 멋진, 아주 친절한 호스트였습니다.
참 화장실 왼쪽에 꽂힌 전기코드는 와이파이공유기코드에요. 뽑았다가 다시 꼽으면 바로 되긴하지만 놀랐어요.",1,albanian,
N’hesitez pas !,2,albanian,
