comments,N,lang,comment_in_english
:),48,basque,
毎日(月曜休み)開催されているｱﾘｰｸﾞﾙのﾏﾙｼｪにも近く､ﾒﾄﾛにも徒歩で問題なくいけます｡家主さんもとても感じが良く､ｵｽｽﾒのﾚｽﾄﾗﾝやﾊﾟﾝ屋さんを歩いて紹介してくれました｡帰りは荷物が多いのを心配して､駅までｽｰﾂｹｰｽを運んでくれました｡片言の英語でも通じていたので初めてのﾊﾟﾘ旅行でも安心して楽しめると思います｡,1,basque,
"숙소 위치 너무 좋앗고 공간도 둘이 쓰기에 딱 좋앗어요. 깨끗하게 정리 되잇고 모든게 완벽햇어요. 유럽 기준으로 0층에 잇어서 짐을 계단에 옮기지 않아서 너무 좋앗어요.
다만 잘때 조금 추웟어요.(11월)",1,basque,
Was great :),1,basque,
굉장히친절한설명과함께 제 일행 모두를 맞아주었습니다. 숙소 컨디션은 물론 모두좋았구 파리에 머무는 시간내내 좋은 시간을 보낼수있었습니다. 파리여행계획이 있는 모든분들께 추천해드려요 :),1,basque,
숙소설명을 자세하게 잘 알려줘서 찾기 너무 쉬웠어요! 거리도 에펠탑에서 가깝고 깨끗하고 아늑해서 잘 쉬다왔습니다! 파리오시면 완전 추천입니당 : ),1,basque,
"這是個適合單人男性背包客的住處,這個費用住在這個位置我覺得很值得!自己一間房間獨立房門不會經過屋主客廳等區域､配有獨立小間淋浴廁所,不需共用,有電子爐､烤箱､微波爐和餐具,麻雀雖小 五臟俱全,相當推薦男性背包客!房子位於第十三區華人(包含日韓)多,所以華人臉孔在這不突兀!只是晚上喝酒大叫的人蠻多的!所以男性為佳!",1,basque,
"집은 두 사람이 지내기에 아늑하고 따뜻했습니다. 에펠탑에서 매우 가까운 거리에 있었고, 집 2분 거리 정도에 메트로가 있어서 이동하기도 편하고 좋았어요. 아파트가 있던 지역 자체가 안전한 느낌이 있었기 때문에 좋았습니다. 파리에서 여행하면서 묵기에 좋은 곳이라고 생각해요. :) ",1,basque,
전망이 좋음(에펠탑과 앵발리드가 한눈에 보임). 접이식 침대라 삐그덕 거리는 소리는 나지만 생각보다 편안함. 하지만 집 전체에 먼지가 많았으며 각종 집기류가 오염되어 사용하기 꺼려졌음.,1,basque,
"首先感谢Brendan的悉心安排与帮助｡见面时就跟我们说了所有注意事项并且把所有都准备好了!说说房子,景观真心一流,直接看到埃菲尔铁塔和荣军院,小阳台很舒适,暖气也很足｡房源是在一栋公寓里,两重大门,很安全｡附近就是蒙帕纳斯地铁站,交通方便,附近有不少好吃的(亚洲菜,法国菜,牡蛎等等)!好想在夏天有机会再去住一次啊!",1,basque,
"위치가 정말 멋지다. 4박 5일을 지냈는데, 4번의 밤마다 돌아오는 길에 에펠탑이 반짝이는 것을 볼 수 있었다. 버스, 지하철 모두 접근성이 매우 뛰어나다. 동네에 맛있는 집도 많고 에펠탑 쪽으로 걸어나가도 좋은 음식점들이 많다. 
게다가 1층에 모노프리 마트가 파리에서 봤던 것 중에 상당히 대형 마트에 속하고 여는 시간도 길어서 매우 편리했다.
실내는 매우 넓은 편이고 사진과 차이가 없는데, 와이프에 표현에 의하면 '남자들이 좋아할 인테리어'라고 했다. 나는 좋았는데 와이프는 조금 더 여성스러운 것을 원했던 것 같다. 멋진 홈씨어터/플스/오디오, 전동 블 (Hidden by Airbnb) 드, 전자 제품, 자전거, 등등 남성적인 취미로 집이 멋지게 꾸며져 있다. (사실 부러웠다.) 머무는 동안 세탁기/오븐/식기 등을 사용했고 전자제품들이 다 고급이어서 나는 만족하며 사용했다. 
다만 일교차가 심해서 추가 침구가 따로 마련되어 있었으면 했는데, 손님용 추가 침구는 별도로 준비되어 있지 않아서 다음에 개선되었으면 한다.
중간중간에 에어비앤비 메시지를 통해서 몇번 연락을 했는데, 매우 빠른 속도로 자세하게 회신을 줬다. 
공항 교통편은 히드로든 오를리든 피크타임이 아니라면 우버가 짱이었다. 한번은 공항버스, 한번은 우버를 사용했는데 가격도 거의 차이없고 서비스는 훨씬 낫다. (우버로 숙소-오를리:35파운드)
만족스러운 숙소이고 남자들에게는 별 다섯개 여성스러운걸 원하시는 분들께는 별 네개 드리고 싶다.",1,basque,
