comments,N,lang
Ottima posizione e host precisa e disponibile,1,bosnian
So good,7,english
Prima verblijf.,1,bosnian
"impeccable, très joli, très propre...",1,bosnian
明亮 干净整洁 很有生活气息 室内面积有限但设施齐全 有微波炉烤箱电磁炉 沙发凳子都很独特 洗澡的浴头浴缸也很舒服 热水满分｡房东brice也很好 为我们准备了红酒｡ 公寓在地面层 面向街道 房子没有空调或者风扇 开窗面积大 所以夏暖冬凉是可以预见的｡ 床在厕所上面 需要爬一个金属小楼梯 这一点不是很方便 层高有限在床上坐起来也容易碰头｡离地铁近 附近有水果店 超市 药店 酒吧 公园 挺方便的 有朋友说这里不是很安全但我们住着也没有遇到什么事儿｡,1,bosnian
Good place.,17,english
"房間很寬敞,而且還是典型的法國公寓,走在木板樓梯上還會有kaka 的木板聲,非常有趣,Jez人很客氣,還會留給我們一些食物,非常nice,總之這住宿豐富了旅遊的樂趣｡",1,bosnian
"Nice, je recommande.",1,bosnian
"Nice.
시설도 좋고 에펄탑과도 가깝고 밑에는 마트도있어서 음식도 해먹을수있고요
매트로가 가까워서 소음은있지만 이동할땐 편해요",1,bosnian
Apartman je bio sjajan odlicna lokacija sophie je jako ljubazna,1,bosnian
"Ariane nas je dočekala u stanu i sve lijepo objasnila. Preko puta stana nalazi se market, a do metro stanice treba 3 minute. Stan je na vrlo dobroj lokaciji i oko njega imate sve što vam treba. Stan je izgledao kao na fotografijama.",1,bosnian
Prima plek!,1,bosnian
Posizione ottima,7,bosnian
Nice.,2,english
"Good host.
I advise Sim",1,english
"Good place. 房东人很好,热情~",1,bosnian
"非常棒的房子,在一幢漂亮的建筑物顶楼,宽敞的阁楼｡房间在楼梯的一边的独立空间,房间自带独立卫生间,很大很整洁,设施很新｡楼梯的另一边是厨房和客厅｡由于女主人是个建筑师,房子被设计的非常优雅有品位,厨房也相当的先进,有一个豪华的咖啡机｡房主还很细心的为我们准备了点心,给我们推荐了很好的当地饭店｡房子的地段也很好,在生活区很多的饭店和超市｡离地铁很近,乘2站就到歌剧院和老佛爷,步行也不远｡房主夫妇人非常Nice,乐于助人,英文相当好｡很好的巴黎体验｡",1,bosnian
Sim,2,bosnian
"Metro #12 역이 바로 앞에 있고, Duroc 역이 걸어서 10분내에 있는 등 교통편이 용이하고, 까르프 마트도 바로 옆에 있어 생필품 구매 등도 용이합니다. 단지, 숙소 크기, 청결도 및 주방용구 등이 많이 낡음 등이 단점이 있습니다. 특히 카페트 및 침대보 등이 청결하지 않은 것 같습니다. 오실 때 꼭 간이실내화 등 가져오시면 좋은 갓 같습니다. 가성비는 보통이지만, 파리시내로 가는 교통 편이성을 우선순위로 고려하신다면 나쁘지 않을 것 같습니다.",1,bosnian
Otima Localizaçaõ,1,bosnian
"Good place, good hosts.",1,english
Nice place. Good value,1,english
"房子内部装潢很有趣,有很多书和电影dvd和唱片｡房子位置不错,所在的区很安静｡靠近公交车站和地铁站｡房子没有空调,不开窗的话会很闷热｡因为房子里面有植物,所以小虫子挺多的｡厨具有些脏,而且不太实用｡总体而言还不错｡",1,bosnian
"旅行的第一站,位置相当好,离地铁站､卢浮宫等都很近,Mike也很nice一直等了很久,还介绍了周边很好的美食等,主要是床超级舒服,很软很软,值得推荐~",1,bosnian
good place,13,english
Ottima casa vacanza,1,bosnian
"Patrice的公寓位于一个很安全､安静､方便的街区,离凯旋门不远,可以步行｡
搭乘Metro很方便,2分钟可以到达Metro站｡
从戴高乐机场过去乘坐Shuttle Bus很方便｡
Patrice的公寓干净､整洁,同照片一致｡房间比中国国内会小一些,但在巴黎比较正常｡
Patrice会准备早餐,每天早上共同进餐都会聊很多,他来过中国,了解一些中国文化,也非常愿意介绍法国文化｡
Patrice非常Nice,非常耐心地解答我们的问题､帮助我们,帮我们用他的信用卡订火车票､还要去把票取回来､查去普罗旺斯卢尔马兰小村的详细路线､寄存行李......
非常感谢Patrice的帮助!
如果有朋友去巴黎,我愿意推荐这个公寓｡",1,bosnian
개선문과의 거리가 가까워 걸어다녀도 될 정도였습니다. 근방에  큰 마트가 있어 필요한 것들을 쉽게 구입할 수있었습니다. 방은 물론 너무 깨끗했고 주인인 Patrice역시 너무 친절하였습니다,1,bosnian
"位置很好找,交通方便｡房子是老式的,家具有点古董的感觉｡房东很热情,也很nice. 缺点是靠街,早上略有点吵",1,bosnian
"地理位置佳,環境整潔,廚房配備齊全,房東人很nice.",1,bosnian
Ottima posizione.Stanza principale molto confortevole.,1,bosnian
Ottima posizione.,2,bosnian
"남프랑스 여행전에 며칠 머문 파리의 숙소. 올해는 남프랑스를 경유하는 짧은 일정으로 머문 파리. 그동안 나름 여러종류의 숙소를 이용해 보았는데 가성비가 좋은 숙소로 생각되어던 곳.
무엇보다 위치가 마음에 들었던곳. 오페라에서 걸어도 15분정도 (공항에서 Roissy Bus를 이용하여 시내로 들어갈 경우 Opera 에서 Metro를 이용하기보다 캐리어끌고 걸어도 다닐만한 거리에 위치) 그리고 중심가에서 들고날기가 쉽고, 이곳저곳을 다닐때 Bus stop위치가 good!, 몽마르트는걸어가도,,,
파리 특유의 허접해 보이는 건물외관에 비하여 실내가 새로 renovation 하여 깨끗하고, 무엇보다 안전한 위치, 거주환경이었던 곳. 
두,세명정도의 파리를 여행한다면 추천해드리고 싶은 숙소중 하나입니다.",1,bosnian
"merci 바로 위에  위치한 숙소는
마레지구를  여행하기에  너무  좋은 위치에  있어요
그리고  숙소도  너무  마음에  들고
  문제가  있을때  남편이 바로  달려와서  
해결  해주셔서  좋았어요

다음에 다시 가고픈  숙소입니다
다시 한번  감사해요  안녕 비앙카",1,bosnian
Ottima,2,bosnian
"Ubytovani v Notre Dame Romantique bylo velmi prijemne, byt je vkusne zrenovovan a zarizen, je z nej zaroven citit kus historie, jak by take ne, kdyz se nachazi v jedne z nejstarsich casti Parize. Bydleli jsme ve 4, my a nase 2 deti (6,4) a i ony se citily v byte velmi dobre. Vetsinu casu jsme travili venku, takze jsme prilis nevyuzili zarizeni, ale v byte je vse, co je treba pro vareni, prip. prani apod. Vybaveni je skvele a nove. Vse je dokonale ciste. Luxusni je samotne umisteni bytu, 3 min od Notre Dame. Alain a Dora jsou nesmirne prijemny par, ac jsme se videli pouze jednou, navazali jsme velmi prijemnou komunikaci. Byt je sice v centru Parize, jedna se vsak o naprosto tiche misto, je to uzka ulicka, takze provoz je minimalni. V lete se bezesporu jedna o dokonale utociste pred vedrem, nebot byt je situovan v prizemi a ma prijemny vyhled do dvora parizskeho domu. Doporucujeme!",1,bosnian
"Ugodan smještaj, odlična lokacija ( podzemna żeljeznica, trgovina, pekara).
Nadam se da ćemo jednom ponovno doći u Lucyn dom.",1,bosnian
Ottima posizione,7,bosnian
"Geneviève Boizard是非常友好和善良的｡
她总是帮助我们｡让我们的旅行更美好｡
船是非常浪漫的,有三个可爱的宠物｡
非常感谢你.我们期待下一次巴黎旅行｡",1,bosnian
"Good place, good host.",1,english
poca privacidad,1,bosnian
)good place,1,english
"Domaćin je uvijek bio dostupan za sve naše upite. U direktnom kontaktu riješili smo sva pitanja i eventualne nedoumice. Budući da je stan smješten u samom centru Pariza, uštedjeli smo vrijeme putovanja i bili u mogućnosti pješke obići sve znamenitosti i ostale željene lokacije.",1,bosnian
"Tamaño justito, pero bien ubicado.",1,bosnian
"Manu je izvrstan domaćin koji  izlazi u susret svojim gostima.
Stan je zgodan i na izvrsnoj lokaciji i savršeno je opisan u oglasu.",1,bosnian
"bardzo dobra lokalizacja, okolo 20 minut na Montmartre, 30 min do Louvre. Duzo knajpek, okolica tetniaca zyciem:)  stacja metra chyba 2 min od mieszkania.",1,bosnian
"Impeccable, je recommande.",1,bosnian
Posizione ottima vicino metro Palazzo sicuro,1,bosnian
"房东,性格很好很赞｡
住的地方为15区原来的富人区,安全､方便､很安静,楼下还有一家不错的法餐&bar,房东真心的不错宝贝,做饭生活之类的完全可以像在家一样的感受屋里有暖气､很温暖,来法国住在这里去哪里坐地铁都很方便,很近啊其实走路去商场､巴黎塔都很方便,快捷感谢房东hh",1,bosnian
房东很nice｡jazz很怕生 但是很可爱!,1,bosnian
"Solid value, good location.",1,english
"good place, good price, good host! :)",1,english
"Good place, good service",1,english
"Tutto a posto ,  ottima posizione",1,bosnian
"Dobra lokacija, miran kvart, jako loša internet konekcija, dobra komunikacija sa domaćinom, u skladu sa cijenom.",1,bosnian
Good price,1,english
No souci,1,bosnian
"nice,",1,english
"nice place, nice host. ",1,english
"房間很舒適,ludovic人也很好,又很热情｡遇到事情非常及时的给予了帮助｡楼下就是地铁和公交车站,出行十分方便｡很棒的体验",1,bosnian
"非常好的位置,就在先贤祠后面,周围有不错的餐厅｡房东非常Nice,我们向她询问推荐餐厅,她会写好纸条第二天放在门口｡另外房间很舒适,厨房很好用,一切都很棒!如果硬要说,唯一一点就是房间隔音效果不太好,多人住要考虑,一家人就无所谓啦｡",1,bosnian
"super, je recommande",1,bosnian
Posizione ottima!!,1,bosnian
Stan je na super lokaciji za istrazivanje Pariza. Okolica je puna barova i restorana dok je sama ulica mirna i tiha. Stan je mali ali šarmantan te čist i uredan. Jedini problem mogao bi biti uske stepenice do 5 kata pa ne uzimajte velike kofere. :) Hvala Charles,1,bosnian
Ottima posizione e ottima vista!,1,bosnian
Super mjesto i ljubazna domacica,1,bosnian
"房东先生人非常Nice,订单确认迅速,回复贴心周到,还会打电话叮嘱,屋子干净,设施齐全,很好的入住体验,谢谢",1,bosnian
"nice place, good localization!:)",1,english
