comments,N,lang
Excellent,89,english
"Franck's apartment is a jewel in Paris.  Location is a star.   Franck was most accomodating as a host..  We would definitely recommend this accommodation.
Shelley and Jan Nielsen
British Columbia, Canada",1,english
"Great hosting from Pascal, clear communication. 
Very nice place - quiet yet literally 2 steps away from busy cafés/restaurant. 
i recommend!",1,english
Comfortable,2,english
"L'allotjament està molt ben situat i és perfecte per passar-hi uns dies sol o amb parella. A més, la Léna ha estat molt atenta amb nosaltres.",1,catalan
"Didier est sympa accueillant, le studio est très propre ,le quartier calme ",1,catalan
Quartier calme,1,catalan
Great apartment !,1,english
La zona es sencillamente perfecta.,1,catalan
"Elise é un host meravigliosa,molto premurosa nei confronti dei suoi ospiti,l'appartamento é molto grazioso e corrispondeva esattamente alla descrizione dell'annuncio.


 (Website hidden by Airbnb) Grazie Elise per la tua ospitalita'

 (Website hidden by Airbnb) Alessandro & Marco",1,catalan
Excellent accueil. Propre. Proche des transports.,1,catalan
"Loft fantàstic a un lloc cèntric de París, recomanable!",1,catalan
Très bien. Chambre clean et bon accueil ! Super qualité prix !,1,catalan
Excelente!!,2,catalan
"LOVED THE LOCATION, LOVED THE CUTE LITTLE FLAT AND LOVED THE HOST! Very comfy stay! defo coming back :)",1,english
Excellent apartment in a cute Parisian neighborhood!,1,english
Merci !,14,catalan
Bel appartement proche du métro exelmans (métro ligne 9). 2 chambres spacieuses.,1,catalan
Excellent location. Cozy apartment.,1,english
Its perfect!,1,english
"Positives:
- Excellent location, close to Metro stops, grocery, restaurants
- Clean, well kept, good amenities (micro, pots, dishes, etc)
- Price reasonable
Negatives
- on 3rd floor with no elevator
- low ceilinged bathroom",1,english
"L'Apartament és molt còmode i pràctic per aquells que utilitzem l'Aeroport de París-Beauvais amb Ryanair. És a dues passes de Porte Maillot i a tocar (200mts) de dues estacions de metro que permeten la major part de combinacions directes (Argentine i sobretot Étoile Charles De Gaulle), en aquesta darrera també hi ha parada de RER per anar a les afores (Versailles, Eurodisney...). El carrer hi ha petits supermercats i botigues de queviures, fleques, algun restaurant, cafeteries, el típic quiosc a on es ven premsa internacional, també, etc. No és el Marais, ni Montmartre, ni Sant Germain dp, d'acord, però et permet fer el que vulguis en totes direccions. 
És net, acollidor, potser petit, però no cal res més, tot és a l'abast.
El que més pot sorprendre al nou visitant és que tombant el carrer et trobes amb l'Arc de Triomf a tocar. 
L'immoble és ben tranquil, en 8 dies només ens vàrem creuar amb 2 o 3 veïns. 

",1,catalan
"我们一家六口到巴黎旅游(有两位七十岁以上的老人),patrick的房源位置非常好,干净舒适,有家的味道,由于是老房子,隔音不太好,但不影响居住,有一个小电梯,非常方便老人上下｡步行到凯旋门十分钟,步行到地铁站乘坐地铁到巴黎春天二十分钟,距离面包店､超市及自由市场均在十分钟的步行行程内,非常方便,而且生活用品齐全(柴米油盐酱醋茶都有),非常方便自己做饭｡patrick是一个非常好的房东,通讯及时,当我们感觉房间比较冷的时候,给Patrick发了一条信息,管家Marta很快就上楼帮助我们调试了取暖设备,使房间的温度很快的上升了,让我们度过了一个温暖的假期｡Marta虽然只会法语和葡萄牙语,但是肢体语言丰富,不影响我们的沟通,是个非常热情的人｡Partrick和 Marta让我们在人生地不熟的巴黎感受到家人般的关心｡",1,catalan
Le calme-près de commerce- près de métro,1,catalan
alles toll,1,catalan
"Fue una estancia perfecta. El apartamento es tal cual las fotografías. La calle está llena de vida, tiendas, restaurantes. Al lado del Sacre Coeur. Muy bien comunicado. 

The apartment is cute and very clean. The Neighborhood is very quiet. 

Un lieu fantastique pour se loger durant ton séjour à Paris. Nous reviendrons. 

merci",1,english
Our stay at 44 Rue Damrémont was fantastic...perfect location!,1,english
"非常好的地段,主要的景点几乎都在步行范围内,出门五分钟是巴黎最大的地铁换乘站之一｡公寓附近很安全,同一街区就有非常不错的法国餐馆(强烈推荐Le Comptoir de la Gastronomie)｡公寓不大但是很整洁,唯一的问题是晚上有蚊子,不过只要带个O型血的小伙伴就好了｡",1,catalan
Perfect,101,english
"El apartamento de Claude es perfecto para estar en París y poder vivr como un parisino. Usted puede caminar desde allí al barrio latino, a Notre Dame, pasar por la isla de la Cité y sin esfuerzo podrá llegar al Louvre, el arco del triunfo y la Torre Eiffel. En la esquina esta el Boulevar de Sebastopol y a unos 200 m el centro G. Pompidou. Además Claude es un buen anfitrión y les dará buenos tips para que su visita a la bella ciudad de París sea más placentera.

The Claude's flat is perfect to stay in Paris and to live like a Parisian. You can walk from ther to latin quarter, Notre Dame, Arc de Triunfe, Eiffel tower, Louvre. Just at the corner you have Sebastopol Boulevar and 200 m Centre G. Pompidou. In adition Claude is a great host and I am not lying you if I say he will give you many good tips making your Paris' trip more easy.",1,catalan
位置非常好 走路可以到很多景點 樓下很多餐廳 從房子走路600公尺可以到Les Halles直接坐機場地鐵; 房間很小 但我本來就知道 而且我們白天都在外面觀光 只是晚上回來睡覺 所以不造成困擾; Claude很熱心地提供了一些巴黎建議,1,catalan
Cozy apartment. Great location!,1,english
El departamento fue muy confortable y el barrio genial. Todo estuvo perfecto en nuestra estadía en París y esperamos  poder volver pronto y hospedarnos en la casa de Jean-Francois nuevamente.  Gracias a todos.  Familia Arregui.,1,catalan
"Perfect host, perfect appartement, perfect stay!",1,english
Perfect!,79,english
Perfect as usual .)),1,english
" Licia 和 Clem是很親切的房東,他們的房子非常乾淨可愛,臥室也很舒服,附近有地鐵站跟公車站,交通非常便捷｡他們住家的社區很安靜單純(復古的電梯對我來說很特別,很喜歡),很安全｡社區斜對面就是超級市場,走路三分鐘可以到巴士底市集｡

抵達巴黎之前,他們給了我很清楚的交通資訊,雖然第一天因為行李延誤的關係,無法準時跟他們碰面,他們還是做好了安排,所以一切都很順利｡ 

Clem也提供了許多巴黎私房景點,非常熱心｡

總體而言我推薦Licia & Clem的房間:)))",1,catalan
"Licia의 집은 예술적이었다. 인테리어가 좋아  좋은 감각들을 느낄수 있다.
집은 깨끗하고 따뜻했다.
위치는 마레지구와 바스티유 번화가와 가깝고 지하철 역과도 엄청 가깝다.
집주변은 조용해 안락하다.
",1,catalan
가격대비 만족스러웠습니다. 건물이 낡았지만 실내는 깔끔한편이고 동네가 아주 조용해서 괜찮았습니다. 저희는 호스트인 Lea를 못봤지만 연락이 바로바로 잘 되어서 전혀 문제가 없었습니다. 무엇보다도 파리여행 가이드가 많은 도움이 되었습니다.,1,catalan
Bad communicatiob,1,catalan
Elle est  super !,1,catalan
Merci,56,catalan
Cute apartment!,1,english
"1. 숙소위치
조용한 주택가에 위치하며, 12호선 등 도보 10분 내에 지하철역이 있습니다. 빵, 과일, 고기 등을 살 수 있는 상점과 슈퍼마켓 등이 집근처에 위치하고 있으며, Coin Laundry도 근처에 있어 이용이 편리합니다. 에펠탑까지는 걸어서 약15분 정도 소요됩니다.

2. 숙소시설
사진에서 보는 것과 동일합니다. 2명이 지내기 적합한 공간입니다. 욕실은 작은 편이나 샤워 공간이 별도로 구분되어 있습니다.  주반도 별도로 구분되어있고, 전기레인지와  냉장고, 전자레인지 등이 있습니다. 와아파이 신호가 약하여 실내에서는 이용하기 힘듭니다. 

3. 기타 
비록 여행기간동안 집주인과 만날 기회는 없었습니다만, 우리의 다양한 질문에 바로바로 답을 해주었고 친절했습니다.  ",1,catalan
"Superbe appartement, Pablo super dispo ! Merci",1,catalan
Super sejour! Merci,1,catalan
"Decoració i ambientació particular. Lloc tranquil, agradable i ben comunicat.",1,catalan
Esta perfecto,1,catalan
"Appartemment conforme à la description,  tres bien placé. Tres calme. Sandy a été tres disponible,  comme d'habitude. Merci",1,catalan
Beautiful apartment. Super location. Excellent host : ),1,english
El departamento de Thomas es muy cómodo! Super recomendable,1,catalan
Excellent hosts.!,1,english
"Chambre très correcte,appartement calme ainsi que les hotes. Je conseille la chambre.",1,catalan
perfect stay,3,english
Vale la pena buena ubicacion,1,catalan
Carole응 정말 친절 합니다. 집 주소는 정확하고 집도 매우 깨끗했습니다. 밤에는 조금 발생을 하였지만 거슬릴 정도는 아니었습니다. 지하철에서는 매우 가깝습니다. 주변환경은 조금 무섭긴 합니다.,1,catalan
Lugar tranquilo,1,catalan
"Super appart, super accueil. Merci Charline!",1,catalan
"Dominique personne sympathique 
Je recommande son studio ",1,catalan
"强烈推荐｡位置很好,交通购物便捷,同时也很安静｡房间非常漂亮,而且干净,生活用品一应俱全｡感谢Carole分享这么优质的房源｡",1,catalan
"Trobada genial i immillorable, atenció molt bona cuidant tots els detalls per hospedatge. Molt net i amb esmorzar inclós. Restaurants calitat preu genials a la zona. Recomenable 100%",1,catalan
tres sympa,1,catalan
"Excellent location. A lovely, cozy apartment. ",1,english
