comments,N,lang
"위치가 아주 좋고, 호스트가 아주 친절합니다.",1,croatian-ascii
très bien. très bon accueil. très propre.,1,croatian-ascii
"매우만족합니다.
호스트가 친절하고 
집이 깨끗하고 이쁩니다~^^",1,croatian-ascii
니콜라스 아파트는 에펠탑을 보려고 파리에 가는 사람들에게는 최고라 생각합니다 매일 에펠탑보러 나갔고 파리지앵유람선도 가깝고 지하철역 바로 앞입니다. 다시 파리에 간다면 니콜라스 아파트에서 다시 지내고 싶습니다.,1,croatian-ascii
"Bom local, próximo ao metrô!",1,croatian-ascii
---------------,1,croatian-ascii
"처음 숙소 찾아갈 때 길을 헤매서, 체크인시간에 늦을 거 같다고 연락했어요. 체크인은 호스트 친구분이 문을 열어준다고 하더라고요. 

근데 도착해서 벨을 눌렀는데 아무도 없었어요(원래 밤 9시 30분에 체크인하기로 했는데 40분 늦었고, 호스트친구는 기다려준다고 한 상태)

근데 호스트랑 친구가 다 연락이 안되더군요. 몇번이나 전화해서 호스트랑 통화했는데, 친구랑 전화해보고 연락준다고 하고 또 연락이 없었어요.

그리고 호스트한테 에어비앤비 메시지가 왔는데...'친구는 잘 만났냐 파리에서 good stay 하길 바래'하는데~진짜 너무 화나더라고요
체크인도 못하고 밤에 밖에서 기다리는데, 들어가지도 못했는데! good stay 라니...

결국 11시까지 밤길에 캐리어 들고 여자 두명이서  기다렸습니다..다행히 대문 안에서 기다리긴 했지만 무서웠어요. 아무도 안올 것 같다는 불안감에 ㅠㅠ

큰길인 편이지만 역 근처라 이상한 가게도 있고 집시도 있고 분위기가 좋진 않아요(청량리역 생각하시면 될듯)

11시 좀 넘어서 친구분이 오셔서 문 열어주었고요...
집 상태는 괜찮았는데 부엌 창문이
아예 안잠겨요(사람 오갈수 있을 정도의 크기라 불안함)

체크아웃은 예약할 때 11시에 하기로 했는데 7시로 변경하고 싶어서 하루 전에 메세지를 보냈는데 답이 또 없어요...
체크아웃때 온다는 친구분한테 문자해도 답이 없고..
그래서 호스트한테, 열쇠는 우편함에 두고 가겠다고 했더니 그때서야 폭풍 메세지를 보내더라고요. 메시지 못 받았다고~열쇠 절대 우편함에 두지 말라고요...그렇게 연락 안되던 사람이 ㅎㅎ

너무 호스트랑 연락이 안되고 무책임해서 비추예요...이번 여행에서 에어비앤비
숙소 세 군데 이용했는데, 두군데는 다 괜찮았는데 여기는 최악이었네요",1,croatian-ascii
pretty good,2,croatian-ascii
Big room at a good locatio,1,croatian-ascii
"위치 좋구 
안전하구요
2명이 쓰기 딱좋아요
호스트도 친절하구 첫날 교통편과 주변 편의시설을 디테일하게 설명해 주어서 도움이 많이 됬어요
21번버스 타구 중심까지 가서 어디든 갈수 있어서 편했어요
거울이 화장실에 두개..있는데 하나는 모 거의 장식으로 조각나서 보기 힘든편이구 세면대위 하나뿐 이라
여자분 두분이면 불편할것 같구요 전신거울이 없습니다
주방쪽 창문열면  냉장고을 막아요
식사 준비시 주방문에 유의하시고 냉장고 문이 체크해야지 슬쩍 닫으면 그냥 열려요
밤9시 이후 외부로 이어지는 쓰레기통 사용 자제 하세요 
-호스트가 주의를 주지 않아 몰랐어요 옆집에서 시끄럽다고 컴플레인 했어요-
주방수도꼭지 샘니다 방향조절에 한번 눌러줘여 덜새요
우산, 헤어드라이기 거의 뭐든 있네요
만족했어요 ^^
",1,croatian-ascii
"Martin的公寓地处于巴黎的核心区,出行特别方便｡有三条地铁在此交会,地铁站距离公寓100米左右,通过地铁,初到巴黎的游客凭着手中的地图,可以很方便的到达巴黎市区的任一地方｡从机场坐上去巴黎的B线火车,转地铁6号线就可方便的到达公寓｡公寓住宿条件还可以,虽然和房主人同进一个单元门,但彼此都有一个私密的空间,基本不会相互干扰｡属于你的空间有分设的卫生间和淋浴房(尽管很小)｡有间卧室,双人床偏小｡独用的客厅倒是很宽敞｡主人是位小伙子,挺热情的｡早餐也还不错,有咖啡,牛奶,两种面包,果汁,三种果酱,奶油和水果｡备好的早餐你自己享用,Martin不和你一起吃｡房主乐于助人,我们在巴黎遇到些小麻烦,担忧语言能力交涉困难而求助与他,他还是尽力而为的｡为此我们很感谢!美中不足的是我们住了三个晚上都没有给换过浴巾,也没打扫卫生｡厨房里建议增设一个电磁灶,方便客人做些可口的饭菜｡另外提醒中国游客,公寓底层的入户门很不起眼,门牌号是dis 15,有15---1的意思｡这条街有个15号,隔着三个门洞,且门洞醒目｡你要不知情,准找到那去,但那不是你要去的地方!",1,croatian-ascii
Studio très sympa,1,croatian-ascii
"우선, 숙소의 위치가 매우 좋습니다. 걸어서 5~10분 거리에 쁘렝땅, 라파예트 백화점이 있으며, 인근 지하철 역 및 오페라역도 가깝습니다.
첫 만남에서 매우 따뜻하게 맞이해주셨으며, 파리 시내를 다니면서 주의해야 할 점 등도 알려주셔서 도움이 되었습니다. Wifi 사용에 대해 문의했을 때도 친절하게 설명해 주셨습니다. 아침식사는 간단하지만 빵과 우유, 커피, 요거트가 제공되었으며, 매 식사를 알아서 챙겨먹어야 하는 여행객들에게 유용할 것이라고 생각합니다.
전반적으로 매우 만족하였으며, 파리 여행에서의 수 많은 좋은 추억 중 한 페이지로 남았습니다.",1,croatian-ascii
"호스트가 정말 스윗합니다.
다음번에 파리에 와도 머물고 싶어요",1,croatian-ascii
"숙소의 위치가 좋고, 호스트의 응답이 빠르고 친절하십니다.",1,croatian-ascii
"그녀의 집은 아시아 전통 그림들로 꾸며져 있어서 아름다웠습니다. 지하철이 가까이에 있어서 편리했고 안전한 장소였어요. 하지만 파리에 처음 가서, 길을 헤매는 바람에 그녀의 친구를 만나지 못했지요. 그래서 몇 가지 불편한 점이 있었어요. Wifi 주소를 찾을 수 없었고 세탁기 사용법을 알 수 없었어요. 조식을 제공한다고 나와 있었지만 조식에 대한 언급은 없었답니다. 
 방문객이 집에 효율적으로 사용하도록 집 사용법이나 주의 사항을 써두는 것이 좋을 것 같아요. ",1,croatian-ascii
"개선문에서 도보 5분거리에 있는 숙소입니다^^
근처에 큰슈퍼가 있어서 식료품 사기도 좋았습니다. 
아파트에 경비아저씨가 24시간 대기중이라 치안걱정도 전혀 하지 않았어요~ cctv도 계속 돌아가고 있구요.
정말 위치는 최고였습니다.^^
숙소도 아기자기하고 예쁘고 부엌의 오븐과 냉장고 식기세척기까지 사용해봤는데 모두 만족스러웠습니다.
화장실도 깨끗하구요.ㅎ ",1,croatian-ascii
"非常棒的民宿!距离里昂火车站大约5分钟的距离,周围的建筑也很美｡可以步行到达巴士底广场,圣母院,卢浮宫,协和广场,香街等景点｡我们很晚才到巴黎,yaniv的朋友在火车站接了我们,他们很热情的帮我们拿了行李,还准备了水果零食和红酒给我们,非常贴心｡这是一次很棒的体验!",1,croatian-ascii
--,3,croatian-ascii
good☺️,1,croatian-ascii
"Petit studio très sympa, très bien situé. Propreté nickel. Au top. ",1,croatian-ascii
방은 괜찮았지만 새벽에도 주변 소음이 심해서 편하게 쉴 수가 없었습니다.,1,croatian-ascii
good stay,2,croatian-ascii
"William은 숙소 예약 전부터 신속하고 친절한 답변을 주었습니다. 아파트를 제공하는 이유가 돈을 벌기 위한 수단이 아니라, 세계 여러 나라의 여행자들과 교류하기 위해서임을 느낄 수 있었습니다. 

아파트는 파리 7구에 위치하고 있으며, 에펠타워까지는 도보로 5분밖에 걸리지 않는 중심가여서 다른 관광지로 이동하기에 매우 편리했습니다.

아파트는 유럽 기준으로 3층인데, 좁지만 유용한 엘리베이터가 있어 많은 짐도 편하게 이동할 수 있었습니다. 

제일 좋은 점은 에펠타워가 바로 보이는 집안 풍경이었습니다. 매일 저녁 주방에서 저녁을 차려 에펠탑이 정각마다 반짝이는 광경을 보며 식사하는 건 정말 낭만적이고 진정한 파리지엥이 된 느낌이었습니다.

3박을 숙박하며 불편한 점은 전혀 없었습니다. 오히려 마지막 날 밤에는 더이상 에펠타워를 집에서 볼 수 없다고 생각하니 아쉬웠습니다. 
윌리엄이 체크인 때 추천해준 현지 레스토랑과 파리 지도, 교통편 덕분에 아주 행복하고 즐거운 여행이 되었습니다 :)",1,croatian-ascii
"Très sympa,  bonne adresse",1,croatian-ascii
ottimo,2,croatian-ascii
Good to stay,2,croatian-ascii
"Ovo je moje prvo airbnb iskustvo i prvo putovanje u Pariz.
Studio je na jako dobroj lokaciji u jako dobrom kvartu, i iznimno je čist i uredan, što je meni najbitnije. Metro stanice su samo nekoliko minuta od apartmana, što omogućuje dobru povezanost s cijelim Parizom. 
Do Louvrea smo imali samo 15ak min pješice.
Marie Laure je bila super domaćin, jako simpatična i pristupačna, te susretljiva. Na bilo kakvo naše pitanje je odgovorila u jako kratkom roku, te nam je preporučila super cool mjesta za izlaske, jelo itd..
Toplo preporučam ovaj apartman i sigurno će biti moj izbor ako opet posjetim Pariz :)

",1,croatian-ascii
8-10 minutes to metro. good place to stay.,1,croatian-ascii
Ugodan i dobro opremljen stan na super lokaciji.,1,croatian-ascii
"비다네 집은 너무 깨끗하고 좋았어요! 위치도 에펠탑이랑 가까워서 화이트에펠을 보고 나서도 위험하지 않게 걸어올 수 있었어요
비다는 친절하고 정말 좋은 집주인입니다
욕실 수압도 완전 좋아요!  파리에 가면 다시 갈 거예요!! good",1,croatian-ascii
지하철역에서 1분 거리입니다. 주변에 마트와 식당이 많아서 좋아요,1,croatian-ascii
----,1,croatian-ascii
"Žena i ja smo proveli tjedan dana u ovom stanu, koji je nama bio savršen zbog više razloga. Prije svega, lokacija je odlična, u samom srcu Pariza, blizu javnog prijevoza u lijepoj i mirnoj četvrti. Gotovo sve poznate lokacije koje su turistički zanimljive su u krugu od 30-tak minuta hoda kroz ulice i avenije. Nasuprot stana je odlična pekarnica, a odmah uz zgradu i trgovina koja radi gotovo stalno. Osim toga, Frederic i njegova supruga Christine su iznimno simpatičini i ljubazni, dočekali su nas te nas ugodno iznenadili poklonivši nam bocu vina. U svakom slučaju, velika preporuka svakome tko želi povoljan, a kvalitetan smještaj.",1,croatian-ascii
Good to stay.,1,croatian-ascii
지하철 역에서도 가까워서 교통도 편리했고 집도 굉장히 깨끗했습니다. 다만 층간소음이 심해 아랫집의 tv소리나 음악이 들릴 정도였습니다.,1,croatian-ascii
"숙소는 넓고 깨끗했고, 나르고는귀여웠어요 mooz도 친절하고 우리에게 잘 대해주셨습니다",1,croatian-ascii
Studio sympa,1,croatian-ascii
"Good stay, looks like picture.",1,english
justo,1,croatian-ascii
room good!,1,croatian-ascii
"Hostitelka byla prijemna, dokud se nevyskytly problemy s cistotou.",1,croatian-ascii
good spot,1,english
---,1,croatian-ascii
"todo ok, ningun imprevisto",1,croatian-ascii
Ótimo!!!,1,croatian-ascii
good to stay :),1,english
위치 좋습니다. 엘레이베이터가 불편한거 빼곤 다 괜찮았습니다,1,croatian-ascii
"Good stay, close to metro",1,english
------------,1,croatian-ascii
"에펠탑 가깝고 몽샐미셸이나 벨기에 등 멀리가실때도 전철역 및 가이드 집합소 진짜 가까워요 

교통은 진짜 좋아요 다만 생각보다 집이 좀 작았는데 문제될 정도는 아니었어요~~ 
유럽 집이 다그래서 ㅋㅋㅋ

침대 생각보다 짱 편해요~~
샤워실 따뜻한물 콸콸 나오는거 진짜 너무 좋았어요~ good",1,croatian-ascii
찾아가기 처음에 힘들었는데 이틀지나니 금방 익숙해졌어요. 방과 인테리어도 깔끔하고 트랜디해서 좋았습니다. 처음에 쇼파베드라고 해서 당황했는데 쇼파 밑에 이중침대가 있어서 괜찮았어요! 침대도 엄청 푹신하고 이불도 깨끗하고! 서랍에 침대보 새것도 있었어요! 아늑하고 좋은 집이였습니다 good ^_^!,1,croatian-ascii
Un studio très sympa.,1,croatian-ascii
"Sve je kao u opisu. Odlicna lokacija, dobro opremljen apartman, miran kvart.",1,croatian-ascii
Good to stay!!,1,english
역 근처에 있지만 시끄럽지 않았고 방도 깨끗하고 좋았습니다.,1,croatian-ascii
good.,1,english
"Molto bene, proprietario ospitale.",1,croatian-ascii
Good plase to stay.,1,english
good room,1,english
"Good spacious place, close to metro,  bakery, store.",1,english
"房子位置安静,地铁站附近,想去哪里都很方便,各种各样的饭店超市｡有一点瑕疵是没有Wi-Fi,有就完美了｡",1,croatian-ascii
"Good place to stay, good value",1,english
good｡,1,english
