comments,N,lang
"Skvěle situovaný 2+0 hned vedle obchodního domu Bon Marche. Komu nevadí bydlení v přízemí s metrem hned pod úrovní bytu a s plísní ve sprchovém koutě, můžu jedině doporučit. ",1,czech-iso8859_2
집도 사진과 비슷했고 온수도 잘나오고 편하게 지냈습니다. 침대도 넓어서 둘이 지내기 충분했구요~ 무엇보다 sevres babylone 지하철역에서 걸어서 3분 내외에 집이 있어서 이동이 편리했습니다.,1,czech-iso8859_2
Very nice place.,8,czech-iso8859_2
"Absolutne super zazitek, s hostilem jsme se sice nepotkali, ale ani tak nebyl zadny problem najit, dostat se. Byt byl velmi utulny a melo to spravnou atmosferu;) dostupnost absolutne bezproblemova, 5 min od RERka C, a 5 minut do druhe strany na metro. Sousedctvi bez problemu, pekarny, bary velmi utulne. Byli jsme v parizi 5 dni a maximalni spokojenost, vrele doporucuji.",1,czech-iso8859_2
Ok,92,czech-iso8859_2
Very nice,36,czech-iso8859_2
Had a very nice stay!!,1,czech-iso8859_2
Very nice ! Thank u,1,czech-iso8859_2
Nice host,7,czech-iso8859_2
A very nice host!!!!,1,czech-iso8859_2
Nice,48,czech-iso8859_2
Very nice place!,19,czech-iso8859_2
Cozy place.. very nice host :) see you next time!!!,1,czech-iso8859_2
"Celý příjezd proběhl naprosto v pořádku. Valérie s námi celou dobu komunikovala a pomáhala nás navést na to správné místo. Trochu jsme byli překvapeni z 5. patra bez výtahu. Pokud tedy nemáte rádi schody, tak se na to připravte :-) Překvapení na vás čeká přímo v ulici, kde pravidelně stojí 4 prostitutky staršího věku. Pokoj je opravdu maličky, ale útulný. Pokud neplánujete moc často zůstávat v bytě, tak úplně stačí. Jen s počtem zásuvek se budete prát :-)",1,czech-iso8859_2
"Příjezd a poskytnuté informace k bytu od majitele byly přesné, s ubytováním nebyl žádný problém. Byt vypadal přesně jako na fotografiích a byl dostačující. Nachází se ovšem jinde, než je uvedeno na mapce v nabídce ubytování, dál od centra, ale dostupnost je i tak skvělá. Byt byl čistý i když trochu zaprášený. Byli jsme lehce rozpačitý z koupelny, která je OPRAVDU MALÁ. S wifi jsme neměli první 4 dny vůbec problémy a pak najednou přes den nešla skoro vůbec a večer trochu lépe, tak už jsme to neřešili. Pro krátkodobý pobyt byl akorát.",1,czech-iso8859_2
"Nice,very very nice
",1,czech-iso8859_2
Todo muy bueno,2,czech-iso8859_2
Nice house,6,czech-iso8859_2
Ok place,1,czech-iso8859_2
Very nice flat!,1,czech-iso8859_2
Nice hostess,1,czech-iso8859_2
房间地址位子超级赞~离多条地铁都很近!楼下有很多不错的餐厅!但是是老房子!房间6楼!如果是提大箱子的妹纸慎重选择!楼梯很窄很难爬!房间热水器的热水两个人洗澡是不够!厕所超小的!白天我们出去玩的时候貌似有人来房间煮过咖啡!一进门一股很浓重的咖啡味!很诡异!入住的时候jeff 很nice 一直发邮件确认!但走的时候jeff没有回复信息!连电话也不接!我们就留下钥匙默默的离开了巴黎!,1,czech-iso8859_2
"Krásný byt blízko centra Paříže, asi 10 minut pěšky od Gare du Nord. Velmi prostorný obývací pokoj a jídelna, plně vybavená kuchyně, pohodlné postele, všechno super. Doporučuji jak pro obchodní cesty a veletrhy, tak pro vetší rodiny, případně i 2 rodiny najednou. 100% čistota, vybavenost bytu a pohodlí.",1,czech-iso8859_2
