comments,N,lang
Koselig praktisk leilighet i et fantastisk område av Paris! Trygt og godt og stille! Veldig hyggelige restauranter i nærmiljøet! Flott base for en herlig helg i Paris! Hit kommer vi gjerne tilbake!!,1,danish
"Min søn og jeg boede 3 nætter i Nolwenn og Didiers lejlighed. Fra jeg bookede opholdet gik der meget kort tid før jeg modtog en positiv og informativ respons, som var meget betryggende, idet det var første gang jeg selv skulle benytte Airbnb på en rejse.
Lejligheden så fuldstændig ud som på billederne og der var rent og pænt. Vi fik en grundig indføring i de praktiske ting af Didier, som var venlig og imødekommende. Lejligheden lå helt perfekt med kort afstand til metro og de vidunderlige seværdigheder på Montmartre. Det var også en stor hjælp at kunne lade bagagen stå noget af afrejsedagen, da vi skulle afsted om aftenen. Vi håber en dag at kunne vende tilbage.",1,danish
"Dette er en skjult perle. Nydelig leilighet, rent og pent og i ett koselig nabolag. Nærhet til kollektivtransport og verten svarte raskt og tydelig. Tommel opp!",1,danish
"Fik en fin velkomst efter aftalt tidspunkt. Rigtig dejligt sted - fantastisk tagterrasse og masser af shoppe og spise muligheder i nærheden. her kunne det fremlagte kort ikke bruges - kunne simpelhen ikke tyde det. Desværre var der ikke helt så rent som man kunne ønske sig - især køkkenet trængte. Manglende en del småting, toiletpapir, opvasketabs, håndsæbe, ting som jeg havde forventet bare var der.
Stadigvæk en rigtig god oplevelse!",1,danish
"Et skønt sted kun 100m fra Notre Dame, og i gåafstand til mange lokaliteter. Værtinden Lisa, er utrolig sød og hjælpsom.",1,danish
Ett fint boende i mysigt område!,1,danish
"Jeffs lejlighed var skøn og hjemlig, den gav en fantastisk følelse, og gjorde vores ophold i Paris til en bedre oplevelse! Jeff vag god til at give os tips til nærliggende spisesteder, metroer og seværdigheder og dette sætter vi stor pris på! 10/10",1,danish
...as being at home...(or perheps better...),1,danish
"Havde et fantastisk ophold i Michels lejlighed. Michel var den perfekte vært, han startede vores ophold med en guided tur i lokalområdet. Beliggenheden var perfekt, vi følte os som lokale. Kan varmt anbefales, vi kommer selv gerne igen.",1,danish
"Fik i forbindelse med lejeaftalen en fremragende service, da vi havde private forhold, der gav lidt udfordringer. Axel og Michelle var her meget flexible og forstående.
Modtog inden rejsen en fin og fyldestgørende beskrivelse af lejligheden, transport hertil og med personlige anbefalinger om seværdige steder og oplevelser i Paris. 
Meget hurtig respons på alle henvendelser.
Axel og Michelles lejlighed er hyggelig og meget velbeliggende i et roligt område med kort afstand til Latinerkvarterets centrum. Uden for den """"""""værste"""""""" turisme og med en meget lokal stemning i en typisk boligopgang for området. 10 minutters gang derfra er man for enden af Rue Muffetard, som blev vores daglige indgang til at gå på opdagelse i Latinerkvarteret og det øvrige Paris.
Lejligheden er vel udstyret og vi følte os meget hurtig hjemme.
En god seng at sove i med en dejlig dobbeltdyne.
Vi kunne bestemt have lyst til et gensyn med stedet - og selvfølgelig Paris! ",1,danish
Netter Kontakt,1,danish
"Jeg har en meget positiv oplevelse af The apartment. Beskrivelsen og de viste fotos svarede fuldt ud til virkeligheden. Det er en optimal lejlighed  - der er alt hvad du behøver ifht. køkkenudstyr etc. Virkelig fedt indrettet og man havde lyst til at tilbringe tid der. Placeringen var også super ifht. metroen, som lå lige overfor. Kvarteret  hvor lejligheden ligger var ikke specielt spændende, men det gjorde ikke noget når man så let kunne hoppe på offentlig transport.
Amélie var en super vært - hun var hurtig til at svare på beskeder og meget venlig.
Klart anbefalelsesværdig - vi ville gerne bo der igen!",1,danish
"De bedste anbefalinger til Brigitte-Maries bolig i Paris.
Meget tjekket før og under ophold.
Meget venlig og hjælpsom uden at være påtrængende.",1,danish
"Lejligheden ligger i et dejligt område med masser af cafeer, butikker og restauranter. Der er roligt og ingen gadestøj, da lejligheden ligger inde i en lille gård. Der er hyggeligt og alt fungerer perfekt i lejligheden. ",1,danish
"Min kæreste og jeg var en forlænget weekend i Paris og landede 21.30 i Orly-airport vi tog en taxa til lejligheden ca. (€35) og ca. 25min. Lejligheden ligger i et virkelig dejligt område tæt på restauranter, shopping og barer (dog ingen larm i lejligheden). Mami viste os lejligheden og fik et par tips ift. spisning. 
Afgangen tilbage til København var kl. 21.30 og vi fik lov til at blive i lejligheden hele dagen indtil vi skulle af sted- virkelig dejligt!
Alt i alt en god oplevelse!     ",1,danish
"Vi havde en meget positiv oplevelse! Lejligheden ligger helt perfekt - midt i Le Marais i okay gåafstand til Notre Dame, Place des Vosges, Bastillen, Louvre osv. Derudover ligger den tæt på metroen og masser af shoppingmuligheder. Lejligheden ligger i en baggård, så det er minimalt med larm fra gaden om natten. Der ligger et supermarked i stueetagen, perfekt når man som os gerne selv vil lave morgenmad, drikke lidt vin og have lidt mad i køleskabet. Smuk udsigt over Paris' tage. Meget rummeligt badeværelse med badekar. Lejligheden ligger på 5. sal uden elevator, så det skal man lige tage med i overvejelserne. Rent, pænt og virkelig perfekt til et par eller to venner. Mami er en rigtig god værtinde. Vi havde virkelig god kommunikation hele vejen igennem. Vi fik lov at tjekke ind sent (omkring midnat) og lade vores bagage stå i lejligheden til vi skulle i lufthavnen om aftenen. Vi har kun positivt at sige om hele opholdet og har intet at udsætte på Mami som vært. Vi vil helt sikkert  booke denne lejlighed en anden gang.",1,danish
"Hyggelig lille lejlighed, centralt, tæt på Bastille-pladsen og Metro og i livligt kvarter.",1,danish
"Vi er en familie på 2 voksne og 3 børn og boede hos Sophie i fem nætter. 
Sophie var yderst imødekommende og gæstfri og har hele vejen igennem været nem at komme i kontakt med. Der ligger en mappe i lejligheden med gode råd til blandt andet restauranter og seværdigheder, men Sophie vil også meget gerne hjælpe, hvis der er noget, man har specielt brug for. Fx bestilte hun taxi til lufthavnen til os, hvilket er helt rart, når ens fransk ikke ligefrem er flydende. 
Lejligheden er super hyggelig og meget charmerende. Her bor en ægte pariserinde :-). Der er hvad man har brug for, og det er nemt at føle sig hjemme. Den ligger centralt på Montmartre - meget tæt på et super hyggeligt butiks- og cafékvarter, som absolut er et besøg værd.
Vi vil helt sikkert komme igen, hvis vejen nogensinde kommer forbi Paris en anden gang!
",1,danish
"Sophie er den perfekte værtinde. Alt var lagt til rette til vores besøg med info og lokale tips. Lejligheden ligger centralt og var en god base, hvor vores børn kunne slappe af, når vi ikke var ude i byen. Lejligheen er personlig og godt indrettet. Som et ekstra plus var børnene begejstrede for at der er et pokestop i lejligheden.
Vi kan kun anbefale Sophie som en fleksibel og kompetent værtinde og hendes lejlighed som et godt alternativ til et hotelværelse. Kim",1,danish
"Laures skønne lejlighed gjorde vores ophold i Paris super skønt. Den er pæn, ren, lækkert indrettet og med gode faciliteter. Og især har den en fantastisk udsigt ud over hele Paris! Laure var god at kommunikere med, og hun sørgede for, at det var let for os at finde lejligheden, få nøglen og begynde vores eventyr!",1,danish
Skøn lejlighed centralt i Paris i den rigtigt hyggelige Rue Montorgueil. Lejlighed er tæt på Metro og man er i gå afstand til mange steder i Paris. Lejligheden var meget let at finde ud fra den beskrivelse og de billeder vi havde modtaget af Jean-Francois. Vi havde en rigtig god kommunikation med Jean-Francois og da vi havde brug for hans hjælp under vores ophold var han meget hurtigt til at svare. Vi kommer gerne igen og anbefaler gerne denne skønne lejlighed til jer som vil bo godt og centralt.,1,danish
Marais er fantastisk og leiligheten ligger perfekt til.,1,danish
"Vi tilbragte en uge i Eiffel Tower Tradition nær Montparnasse tårnet. Og vi nød det i fulde drag.

Vores vært Brandan er professionel, meget venlig og utrolig hjælpsom. Han har gjort sig stor ulejlighed for at gæsterne kan få en god oplevelse. I lejligheden forefandtes en ”Housemanuel” med alle praktiske informationer.

Lejligheden er en ca. 35 m2 stor Studio på 9 sal i en pæn Parisisk ejendom bestående af stor stue, en pænt badeværelse, med badekar og et fint køkken med alt, hvad der behøves. Ideel for 2 personer. 

Lejligheden er pænt møbleret i gammel parisisk empire-stil, med en sofa, et spisebord, 4 stole og så med en seng, der kunne slås op mod væggen, så den ikke tog plads, når den ikke var i brug.

Det bedste var imidlertid den ca. 10m2 store ugenerte altan. Wow, sikken en udsigt over de parisiske tage og ikke mindst Eiffeltårnet og de andre spændende seværdigheder, som Triumf Buen og Panteon – selv Sacre Coeur på den anden side af Seinen kunne ses i klart vejr. En vidunderlig følelse at spise morgenmad på den kølige nordvestvendte altan og at se solnedgangen og Eiffeltårnet lyse.

WiFi var der også i lejligheden og det fungerede hurtigt og stabilt.

Lejligheden ligger lige over for den store Montparnasse station med både RER- og 4 metrolinjer. I området er en masse spændende restauranter for enhver smag.  Rundt om hjørnet lå flere supermarkeder. 

Den kun 120 cm brede seng var lige lovlig smal til 2 personer. Havde der blot været en ekstra seng eller en sovesofa.

Vi var der på nogle dejlig varme sommerdage. Det betyder også varme nætter, og da kunne vi godt have ønsket os en bedre aircondition end den meget larmende ventilator og en lige så larmende aircooler/varmepumpe.

Lejligheden er som udgangspunkt i fin stand og nydeligt rengjort, men går man lidt tættere på, virker den lidt træt. Flere steder trængte til en opstramning, f.eks. stak der søm ud af panelet og dørhåndtag sad løst. Ting som let kan løses ved en gennemgang. Rykkede man lidt på sofaen kunne man se, at rengøringen havde glemt et støvsuge der.    

Alt i alt en pragtfuld oplevelse, selv på grund af de små skønhedsfejl. Og vi ville ikke være bange for at anbefale stedet og Brandan som vært.
",1,danish
To voksne og tre tenåringsbarn hadde det helt supert i Aurore sin flotte leilighet - vi var overveldet over fantastisk service og topp beliggenhet for å utforske Paris,1,danish
"Meget fin lejlighed , levede flot op til forventningerne. Nød rigtig meget gårdhaven i sommervarmen. 
Gårdhaven var delt med andre beboere, de var meget venlige og imødekommende. 
Værtsfamilien havde vi rigtig fin kommunikation med , de svarede meget hurtigt tilbage på mails . De var meget imødekommende og fleksible.
Fin og dejlig åben gade, ikke langt til skønt grønt område, fantastisk cafe lige overfor , hvor der var god stemning og rimelige priser. 
",1,danish
