comments,N,lang,comment_in_english
"Goede aankomst. Franck reageert snel op al je vragen. Ideale locatie wat betreft bereikbaarheid. Het appartement heeft goede voorzieningen
En de bedden zijn goed. Het ziet er gezellig uit. Het is """"cleane"""" hotelkamer , je kunt er goed verblijven.",1,dutch,
"Prima appartement in hartje Parijs! Erg aardige en behulpzame gastheer. Zeer compleet ingericht en met gemak ruim genoeg voor vier personen. Metro station op steenworp afstand, maar je kan ook lopend naar bijvoorbeeld de Notre Dame en andere bezienswaardigheden. Ligt in leuke buurt tegen le Marais aan. Aanrader!",1,dutch,
"Het appartement is een aanrader. Rustig gelegen maar centraal. Alles is er aanwezig en netjes. Het ontvangst van Pascal was hartelijk en hulpvaardig. 
Een leuke plek. ",1,dutch,
"Prettig appartement, goed gelegen, 3 minuten lopen naar de metro. 
Gezellige buurt waar je lekker kunt ontbijten.
Het appartement is van alle gemakken voorzien. Slaapbank slaapt goed. 
Eigenaresse is erg behulpzaam en vriendelijk.
Echt een aanrader!",1,dutch,
Prima en hartelijk welkom geheten.,1,dutch,
"Leuk appartement op loopafstand van de sacre ceour. Goede ontvangst, wifi aanwezig en in een leuke buurt. 

Het was wel erg warm en voor de deur parkeren bleek toch niet mogelijk. 
",1,dutch,
"Prima appartement.Niet erg groot en niet erg licht,maar gezellig,van alle gemakken voorzien,goed gelegen en een goede prijs/kwaliteit verhouding.",1,dutch,
"Prima appartement. Alles klopte met de informatie vooraf. Het appartement is niet zo groot, maar erg efficiënt en smaakvol ingedeeld. Prijs kwaliteit verhouding is oké. Nolwenn en haar man hebben ons gastvrij ontvangen en goede tips voor restaurantjes in de buurt gegeven. Het appartement ligt in hartje Monmartre en als wij weer eens naar Parijs gaan zouden wij graag naar dit appartement terugkeren. bedankt Nolwenn , tot ziens en merci",1,dutch,
"Fijn appartement!  Prima locatie ..een uitstekende plek om parijs te leren kennen.
Metro vlakbij, goede winkels en restaurants om de hoek. Appartement heeft alles wat je verblijf aangenaam maakt.
Aan te bevelen voor iedereen!!
Groet  Aspasia Yocarini",1,dutch,
Very fine studio,1,dutch,
"Alle contacten met de verhuurders zijn in prima sfeer verlopen, zowel per telefoon, mail als via direct contact bij aankomst. 
De studio ligt in een arrondissement van Parijs waar de levendigheid van afstraalt, op 300 meter van de Sacré Coeur. Winkels, restaurants en andere voorzieningen in overvloed. De studio is gelegen aan binnenplaats die rust garandeert.
De studio zelf is een aangename thuishaven na een dag Parijs verkennen. Zeer compleet uitgerust, prima bedden, alle apparatuur voor koken, wassen, ontspanning aanwezig. Ingericht met vrolijke, lichte kleuren.
Voor ons (2 personen) een ideale plek om ooit verblijf te hernieuwen.",1,dutch,
Een knus appartement op loopafstand sacre coeur. Binnen is het lekker rustig en je bent ook zo weer in de stad,1,dutch,
"Goede waarde, niet duur, mooi centraal.",1,dutch,
