comments,N,lang,comment_in_english
Thks,1,estonian,Thks
"정말 좋은 숙소입니다. 머무는 동안 내가 파리에서 살고 있는 것 같은 느낌을 받았어요. 깨끗하고 예쁘고 고풍스러운 방입니다.
개선문을 걸어서 보러 다닐 수 있을 만큼 가깝고, 일정을 마치고 숙소로 돌아갈때 또한 개선문쪽 지하철 역을 통해서 돌아가는 것이 좋습니다, 특히 밤에는요! 그 길이 큰길이라 늦은 밤에도 사람이나 차가 꽤 있어서 안전하거든요.",1,estonian,"A really good place to stay. During the stay I lived in Paris to feel like you have received. Clean and pretty and quaint.
You can walk but be as close to the schedule, and the perfect place to return to then also improve because West subway station through the back that is a good idea, especially at night! Its length is large this late in the night people or the car is pretty in a safe."
"非常喜欢Charles的房间,是一个位于九区的私人住宅院落里~诚实的讲mini的电梯和圆弧型的楼梯间,古旧的房门都在第一时间带给了我们新鲜感~在熟悉之后,C的房子附近有很多好吃的餐厅,还有家乐福就在楼下~去每个景点或者老佛爷都很近,10mins的步行距离吧｡唯一不好的是只有一间卧室,若是六人都同时入住的话,稍显拥挤,有两张沙发床~其他都非常棒!",1,estonian,"Very like Charles room,located in the ninth area in the private residential courtyard in the~and to be honest the mini lift and the arc of the stairwell,the old door are in the first time to bring us the fresh sense~in a familiar,C. near the house there are many delicious restaurants,there's Carrefour just downstairs to go to each attraction or Galeries Lafayette are close by,10mins walking distance from the bar area. The only bad is only one bedroom,if six people are staying in,slightly cramped,with two double sofa bed to the other are very good!"
Rad little room.,1,estonian,Rad little room.
Splendid!,1,estonian,Splendid!
All o.k. Thanks su,1,estonian,All o.k. Thanks su
"Week-end agréable .
",1,estonian,"Pleasant weekend .
"
Beautiful neighborhood!!! A must visit!!!,1,estonian,Beautiful neighborhood!!! A must visit!!!
Belle sejour!,1,estonian,Beautiful residence!
"Olga的公寓就在凯旋门和香榭丽大街边上,步行一会就到了,地理位置极其好!房间和描述的完全一致,洗衣机厨房卫浴设施一应俱全,房间装饰很好,双人床和沙发床都非常舒适!Olga是为人热情真诚的非常好的房东,她及时回复我的所有信息,给我最好最有帮助的建议,我们在公寓的每一天真的都很快乐,再次感谢Olga,非常感谢!",1,estonian,"Olga's apartment is right in the Arc de Triomphe and the Champs Elysees on the edge,walking A went to the,the geographical position is extremely good! The room and described exactly the same,washing machine kitchen and bathroom facilities,the room decor was good,double bed and sofa bed are very comfortable! Olga is for the warm and sincere very good landlord,she reply promptly to all of my information,gave me the best most helpful advice that we in the apartment of each of the naive are very happy,thanks again Olga,thank you very much!"
"개선문 에뚜왈역 코앞이라 지하철, rer이용이 너무너무 편했어요!
9시쯤 늦게 도착했는데 호스트 olga가 친절히 맞아주고 안내해주었어용
아파트 보안도 이중으로 되어있어 안전했구요
엄마가 추위를 많이 타서 걱정했는데
난방, 온수 너무 좋았습니다~
담에도 파리 올때 다시 이용하고 싶어요^^",1,estonian,"Arc Etoile station, around the corner, Metro, rer this is too easy.
9 p.m. arrived late but the host olga is a family friendly and guide was use
Apartment security also double as a Been was safe.
Mom on the boat that was supposed to care
Heating, hot water was good too.~
Fence in Paris, and then again wanted to use^^"
"Olga, 人超级超级好",1,estonian,"Olga, 人超级超级好"
"非常好的地理位置,楼下各种餐厅,卢浮宫､老佛爷都可30min内步行到达｡非常满意这里,如果下次来巴黎,也许还会选择｡",1,estonian,"Very good location,downstairs a variety of restaurants,the Louvre, and the Galeries Lafayette are within 30min walking distance from the apartment. Very satisfied here,if the next time to Paris,perhaps will also choose area."
여기서 10일동안 머물렀습니다. 숙소주변은 매우 안전하고 숙소도 매우매우 깔끔했어요! 치안 매우 굿굿 마트 바로 집앞에 진짜 30초? 거리에 있어요 매우 굿. 근데 주요 관광지랑 거리가 쫌 있는데 메트로랑 버스 가까워서 괜찮앗어요. 그리고 이호스트 가족이 운영하는 레스토랑 잇는데 가격도 매우 굿이고 맛도 매우굿 마지막날 갓는데 진짜 여기 두번 올껄하고 매우 아쉬웟음 ㅠㅠ,1,estonian,"Here from 10 days in Cambodia. The hostel area is very safe and the hostel is also very very tidy! Policing is a very nice Wall set in front of a real 30 seconds? There are very good. Close to the main tourist restaurant street, we hired there with a bus close to fine seeds. And this host family-run restaurant after another but the price is also very good and taste is also very good the last day freshly it real here twice to come talk to and very very comprehensive beauty ㅠㅠ"
"이곳에 숙소를 정한것은 정말 최고의 선택이었어요. 위치도 샹젤리제와 가깝고, 집안의 모든 것들이 굉장히 앤틱스러워 아주 멋진곳이었어요.
호스트 Soline씨는 영어가 유창한 프랑스 분이셨고, 일처리가 아주 깔끔하시고 완벽했어요.
다음 파리올때도 꼭 다시 머물고싶은곳예요.
전 괜찮았지만 더위를 너무 많이 타는 분이라면 좀 더울수도 있겠지만 유럽의 여름 날씨는 선풍기만으로도 아직은 괜찮은것같아요.
너무 멋진 파리지앵의 경험이었습니다!!",1,estonian,"This is the perfect place for it is really the best choice. Location the Champs Elysees and close to the house, everything is very antique, but very cool place.
Host Soline Mr. English, fluent French, she, looks very neat and perfect.
Then in Paris I also come again to stay and I'm here.
Before I was fine but more for too much time if more you might be, but Europe's summer weather fan, but still decent.
So wonderful Parisian experience!!"
"住的地方离铁塔很近,而且楼下就有一家很不错的法式餐厅,David 为我们提供了很详细的路线,房子里面东西齐全,性价比相当高,建议去巴黎的伙伴们住这里",1,estonian,"A place to live away from the tower very close,and downstairs there is a very good French restaurant,David provides us with a very detailed route,inside the house things complete,the cost performance is quite high,suggest to go to Paris partners live here."
있을거 다 있어서 좋았어요 호스트인 mike도 친절했구요~ 끈뗴 뼤뜨뻐끄 있어서 깥이 온 칭9 따리에 뭐났어여 ㅎㅎ,1,estonian,"You can then have the host, mike, help was friendly and helpful~ string 뗴 뼤 down the happy slide in 깥 comes Call 9 depending on what was by ㅎㅎ"
