comments,N,lang,en-en,comments
:),48,basque,en-en,:)
毎日(月曜休み)開催されているｱﾘｰｸﾞﾙのﾏﾙｼｪにも近く､ﾒﾄﾛにも徒歩で問題なくいけます｡家主さんもとても感じが良く､ｵｽｽﾒのﾚｽﾄﾗﾝやﾊﾟﾝ屋さんを歩いて紹介してくれました｡帰りは荷物が多いのを心配して､駅までｽｰﾂｹｰｽを運んでくれました｡片言の英語でも通じていたので初めてのﾊﾟﾘ旅行でも安心して楽しめると思います｡,1,basque,ja-en,"Daily(closed on Monday)being held by the ants button I my opponent's head, spat water enough near the horizon in the camera setting locked even walk in without problems not in. Landlord are nice and well policies of my live me and I don't understand how to pack for a trip the bakery to walk and introducing me to it. The return is a lot of Luggage to worry about, and the station in pages I visit Tony's escape carrying some fun! In broken English through for the first time of bread and you can't download them travel in peace to enjoy it."
"숙소 위치 너무 좋앗고 공간도 둘이 쓰기에 딱 좋앗어요. 깨끗하게 정리 되잇고 모든게 완벽햇어요. 유럽 기준으로 0층에 잇어서 짐을 계단에 옮기지 않아서 너무 좋앗어요.
다만 잘때 조금 추웟어요.(11월)",1,basque,ko-en,"Location too good seeds and space, both writing just the right seeds. Clean beautifully, and all the perfect hat. European standard with 0 on the floor in an intense load on the stairs, move the not so good seeds.
Just well then a little chat.(11)"
Was great :),1,basque,en-en,Was great :)
굉장히친절한설명과함께 제 일행 모두를 맞아주었습니다. 숙소 컨디션은 물론 모두좋았구 파리에 머무는 시간내내 좋은 시간을 보낼수있었습니다. 파리여행계획이 있는 모든분들께 추천해드려요 :),1,basque,ko-en,"Very friendly description with the All right. Visit and of course all the good tools stay in Paris, throughout time spend a good time. Paris travel planning to all who recommended.:)"
숙소설명을 자세하게 잘 알려줘서 찾기 너무 쉬웠어요! 거리도 에펠탑에서 가깝고 깨끗하고 아늑해서 잘 쉬다왔습니다! 파리오시면 완전 추천입니당 : ),1,basque,ko-en,"Property description details a well-informed find too easy! Distance also the Eiffel Tower in a close and clean and cosy, easy. Paris see fully recommended.: )"
"這是個適合單人男性背包客的住處,這個費用住在這個位置我覺得很值得!自己一間房間獨立房門不會經過屋主客廳等區域､配有獨立小間淋浴廁所,不需共用,有電子爐､烤箱､微波爐和餐具,麻雀雖小 五臟俱全,相當推薦男性背包客!房子位於第十三區華人(包含日韓)多,所以華人臉孔在這不突兀!只是晚上喝酒大叫的人蠻多的!所以男性為佳!",1,basque,zh-en,"This is a suitable for single male backpacker accommodation,the cost of living in this location I think well worth it! Own a room with a separate door, not through the home the main living areas, and comes with a separate small shower toilet,not to be shared,a sub-furnace, and oven, and microwave and Cutlery,small but perfectly formed,quite recommended male backpackers! The house is located in the thirteenth District of the Chinese(including Japanese and Korean), so the Chinese face in not obtrusive! Just the night drinking and yelling of the people pretty much! So male is better!"
"집은 두 사람이 지내기에 아늑하고 따뜻했습니다. 에펠탑에서 매우 가까운 거리에 있었고, 집 2분 거리 정도에 메트로가 있어서 이동하기도 편하고 좋았어요. 아파트가 있던 지역 자체가 안전한 느낌이 있었기 때문에 좋았습니다. 파리에서 여행하면서 묵기에 좋은 곳이라고 생각해요. :) ",1,basque,ko-en,"The house is two people in a cozy and warm. Paris was in the House, 2 minutes degree on the Metro to this hotel and it was great. The apartment was the area itself feels safe because it was good. Paris travels in silence in a good place. :) "
전망이 좋음(에펠탑과 앵발리드가 한눈에 보임). 접이식 침대라 삐그덕 거리는 소리는 나지만 생각보다 편안함. 하지만 집 전체에 먼지가 많았으며 각종 집기류가 오염되어 사용하기 꺼려졌음.,1,basque,ko-en,"View(Eiffel Tower and the Invalides are at a glance). Folding the bed creaks there sound better, but think more comfort. But the whole house in dust, there was a lot and each new house is contaminated reluctant to use."
"首先感谢Brendan的悉心安排与帮助｡见面时就跟我们说了所有注意事项并且把所有都准备好了!说说房子,景观真心一流,直接看到埃菲尔铁塔和荣军院,小阳台很舒适,暖气也很足｡房源是在一栋公寓里,两重大门,很安全｡附近就是蒙帕纳斯地铁站,交通方便,附近有不少好吃的(亚洲菜,法国菜,牡蛎等等)!好想在夏天有机会再去住一次啊!",1,basque,zh-en,"First of all thanks Brendan the carefully arranged help with home. They will tell us all the considerations and all are ready to go! Tell me about the house,the landscape really first-class,directly see the Eiffel Tower and the Invalides,the small balcony was very comfortable,heating is also very foot apartment. Room the source is in an apartment,the two major door,very safe area. Nearby is the Montparnasse metro station,the transportation is convenient,nearby there are many delicious(Asian dishes,French dishes,oysters, etc.)! Good think in the summer the opportunity to go live once!"
"위치가 정말 멋지다. 4박 5일을 지냈는데, 4번의 밤마다 돌아오는 길에 에펠탑이 반짝이는 것을 볼 수 있었다. 버스, 지하철 모두 접근성이 매우 뛰어나다. 동네에 맛있는 집도 많고 에펠탑 쪽으로 걸어나가도 좋은 음식점들이 많다. 
게다가 1층에 모노프리 마트가 파리에서 봤던 것 중에 상당히 대형 마트에 속하고 여는 시간도 길어서 매우 편리했다.
실내는 매우 넓은 편이고 사진과 차이가 없는데, 와이프에 표현에 의하면 '남자들이 좋아할 인테리어'라고 했다. 나는 좋았는데 와이프는 조금 더 여성스러운 것을 원했던 것 같다. 멋진 홈씨어터/플스/오디오, 전동 블 (Hidden by Airbnb) 드, 전자 제품, 자전거, 등등 남성적인 취미로 집이 멋지게 꾸며져 있다. (사실 부러웠다.) 머무는 동안 세탁기/오븐/식기 등을 사용했고 전자제품들이 다 고급이어서 나는 만족하며 사용했다. 
다만 일교차가 심해서 추가 침구가 따로 마련되어 있었으면 했는데, 손님용 추가 침구는 별도로 준비되어 있지 않아서 다음에 개선되었으면 한다.
중간중간에 에어비앤비 메시지를 통해서 몇번 연락을 했는데, 매우 빠른 속도로 자세하게 회신을 줬다. 
공항 교통편은 히드로든 오를리든 피크타임이 아니라면 우버가 짱이었다. 한번은 공항버스, 한번은 우버를 사용했는데 가격도 거의 차이없고 서비스는 훨씬 낫다. (우버로 숙소-오를리:35파운드)
만족스러운 숙소이고 남자들에게는 별 다섯개 여성스러운걸 원하시는 분들께는 별 네개 드리고 싶다.",1,basque,ko-en,"The location is really cool. 4 Nights 5 days, and I 4 times of the night on the way back from the Eiffel Tower glitter were able to see that. Bus, subway, all accessible is very outstanding. In the neighborhood, delicious house and the Eiffel Tower, walk towards the or even good food. 
Plus 1 layer on the mono Street Mart in Paris we saw one fairly large on the property and many long hours in very handy.
Interior is very spacious and the photos and there is no difference, and in the representation of 'men love the interior. I did swipe a bit more feminine that I wanted. Cool home theater/player/audio, electric blue (Hidden by Airbnb) de, electronic products, bike, etc masculine hobby as the house is nicely decorated. (In fact envied.) A washing machine/oven/tableware such as the used electronics they advanced in the I satisfaction and used. 
Just the other day due to a additional bedding is laid aside was when I had guests, additional bedding that separately are not ready in the next improved.
In the middle of the Airbnb message through several times to contact, very fast speed, a detailed reply was given. 
Airport transfers Heathrow, all Orly, all the peak if not Uber UBER. Once the airport bus, once our server was also almost no service that much better. (Uber as a stay-Orly:35 lbs)
A satisfactory stay, and men are five stars feminine necklace for those who want that I want to."
"집상태나 위치는 괜찮으나 환기가 잘 안됨. 또한 체크아웃시 침대포와 이불,베개 겉싸게를 다 벚겨서 한촉에 둬야하고 체크아웃 시간을 정확하게 해야함.(아이들이 있는 집은 불편)",1,basque,ko-en,"Home state or location is fine with good ventilation. Also check out bed and duvet,and a pillow outside in the backyard to the cherry blossoms in one touch on the put and check-out time is exactly that.(Have children home is uncomfortable)"
"열쇠 찾는법이 겁나어렵습니다 ㅠㅠ
이웃에게 도움을 청하는것은 하지말라달라고해서 식은땀이났지만 그것외에는 넓고 괜찮은 숙소입니다!:) 주변에 프랑스어를 잘하는사람이 있다면, 정말괜찮은 숙소에요! 바로옆에 큰마트가 있어서 아침저녁해결하기가좋고, 케밥맛집과 빵맛집도 지하철역가는길에있습니다!! 창문열어두면 통풍도잘되고 동네도시끄럽지않으며 밤늦게(야경보고 저희는 새벽2시다되서들어갔어요) 가도 별로 무섭지않고 가로등덕에 밝은 위치에 있습니다! 계단올라가는게 쬐끔힘들지만 전반적으로 아주 좋은 곳이에요!!",1,basque,ko-en,"The key to find how we put it..... ㅠㅠ
A neighbor for help, it is not really wished in a cold sweat this, but he left it outside in the spacious and decent place!:) Around French to good people, really decent place! Right next to the big Mart in the morning and evening to resolve is good, but the kebab restaurants and Bread restaurants and subway is on the way!! Window heat control when ventilation sensor and the neighborhood, city, out late at night(night reported that 2 a.m. was the they got) stars as scary without a light on a hill, in a bright location. The stairs are to a wee bit awkward, but overall a very good place!!"
"설명이 아주 정확한 곳입니다. 싸고, 위치가 좋은. 저는 집이 너무 좁아서 많이 답답했습니다. (특히 욕실은 정말 좁았습니다) 아침에 일찍 나가서 저녁에 늦게 들어오면서 파리를 즐기기엔 더없이 좋은 집이지만 집에서 여유있게 쉬기에는 많이 좁게 느껴졌습니다. 그리고, 이집에 머무시려면 불어를 하는게 훨씬 좋습니다.",1,basque,ko-en,"Description This is a very precise place. Cheap, location is good. My house is too narrow in of. (Especially the bathroom is really narrow.) early in the morning or in the late in the evening off in Paris enjoying the smells of the house, but at home there is just a lot narrower felt. Then, head out to the fire to do much good."
