comments,N,lang,en-en,comments
Ottima posizione e host precisa e disponibile,1,bosnian,it-en,"Great location and host, precise and helpful"
So good,7,english,en-en,So good
Prima verblijf.,1,bosnian,nl-en,Excellent stay.
"impeccable, très joli, très propre...",1,bosnian,fr-en,"impeccable, very nice, very clean..."
明亮 干净整洁 很有生活气息 室内面积有限但设施齐全 有微波炉烤箱电磁炉 沙发凳子都很独特 洗澡的浴头浴缸也很舒服 热水满分｡房东brice也很好 为我们准备了红酒｡ 公寓在地面层 面向街道 房子没有空调或者风扇 开窗面积大 所以夏暖冬凉是可以预见的｡ 床在厕所上面 需要爬一个金属小楼梯 这一点不是很方便 层高有限在床上坐起来也容易碰头｡离地铁近 附近有水果店 超市 药店 酒吧 公园 挺方便的 有朋友说这里不是很安全但我们住着也没有遇到什么事儿｡,1,bosnian,zh-en,"Bright, clean and tidy very life breath indoor area is limited but fully equipped with microwave oven induction cooker sofa stools are very unique the shower bath head bath is also very comfortable hot water out of the House. The landlord brice is also very good for we have prepared a red wine area. Apartment on the ground floor facing the street the house is not air-conditioned or fan open the window a large area so summer warm winter cool is predictable. The bed in the bathroom above the need to climb a metal staircase which is not very convenient layer high limited sit up in bed also easy to meet as well. From the subway near the vicinity of the fruit shop, supermarket, pharmacy bar Park quite convenient to have a friend say here is not very safe but we lived also did not encounter something as well."
Good place.,17,english,en-en,Good place.
"房間很寬敞,而且還是典型的法國公寓,走在木板樓梯上還會有kaka 的木板聲,非常有趣,Jez人很客氣,還會留給我們一些食物,非常nice,總之這住宿豐富了旅遊的樂趣｡",1,bosnian,zh-en,"The room was very spacious,but also a typical French apartment,walking in the wood on the stairs will also have kaka plank sound,very funny,Jez people are very polite,also left us some food,very nice,in short this accommodation Rich a tour of the fun house."
"Nice, je recommande.",1,bosnian,fr-en,"Nice, I recommend."
"Nice.
시설도 좋고 에펄탑과도 가깝고 밑에는 마트도있어서 음식도 해먹을수있고요
매트로가 가까워서 소음은있지만 이동할땐 편해요",1,bosnian,ko-en,"Nice.
Facilities are also good and in the Pearl Tower and close to the bottom in the site in food, a hammock and.
Matt, as close in noise is there, but go when you need to"
Apartman je bio sjajan odlicna lokacija sophie je jako ljubazna,1,bosnian,bs-en,The apartment was excellent great location sophie is very kind
"Ariane nas je dočekala u stanu i sve lijepo objasnila. Preko puta stana nalazi se market, a do metro stanice treba 3 minute. Stan je na vrlo dobroj lokaciji i oko njega imate sve što vam treba. Stan je izgledao kao na fotografijama.",1,bosnian,bs-en,"Ariane us is welcomed in the apartment and everything explained. Across the street the apartment is located market, and to the metro station takes 3 minutes. The apartment is in a very good location and around it you have everything you need. The apartment looked like on the photos."
Prima plek!,1,bosnian,it-en,Before plek!
Posizione ottima,7,bosnian,it-en,Great location
Nice.,2,english,en-en,Nice.
"Good host.
I advise Sim",1,english,en-en,"Good host.
I advise Sim"
"Good place. 房东人很好,热情~",1,bosnian,en-en,"Good place. 房东人很好,热情~"
"非常棒的房子,在一幢漂亮的建筑物顶楼,宽敞的阁楼｡房间在楼梯的一边的独立空间,房间自带独立卫生间,很大很整洁,设施很新｡楼梯的另一边是厨房和客厅｡由于女主人是个建筑师,房子被设计的非常优雅有品位,厨房也相当的先进,有一个豪华的咖啡机｡房主还很细心的为我们准备了点心,给我们推荐了很好的当地饭店｡房子的地段也很好,在生活区很多的饭店和超市｡离地铁很近,乘2站就到歌剧院和老佛爷,步行也不远｡房主夫妇人非常Nice,乐于助人,英文相当好｡很好的巴黎体验｡",1,bosnian,zh-en,"Great house,in a beautiful building on the top floor,a spacious attic room. The room on the stairs on the side of the independent Space,Room comes with a separate toilet,very clean,facilities very new area. The stairs on the other side is the kitchen and living room area. Since the hostess is an architect,the house is designed very elegant and tasteful,the kitchen is also quite advanced,with a luxury coffee house. The homeowner was also very attentive as we prepare refreshments,to US recommended a very good local restaurant and great views. The House location is also very good,in the living area lots of restaurants and supermarkets in the area. From the subway very near by 2 Station to the Opera House and Galeries Lafayette,walk also not far from the House. A homeowner couple were very Nice,helpful,English quite good as well. Good Paris experience."
Sim,2,bosnian,en-en,Sim
"Metro #12 역이 바로 앞에 있고, Duroc 역이 걸어서 10분내에 있는 등 교통편이 용이하고, 까르프 마트도 바로 옆에 있어 생필품 구매 등도 용이합니다. 단지, 숙소 크기, 청결도 및 주방용구 등이 많이 낡음 등이 단점이 있습니다. 특히 카페트 및 침대보 등이 청결하지 않은 것 같습니다. 오실 때 꼭 간이실내화 등 가져오시면 좋은 갓 같습니다. 가성비는 보통이지만, 파리시내로 가는 교통 편이성을 우선순위로 고려하신다면 나쁘지 않을 것 같습니다.",1,bosnian,ko-en,"Metro #12 station right in front, Danemark walk to the Railway Station, 10 minutes, such as transportation, how self Reg can buy necessities, etc. Just, stay, size, cleanliness and kitchen tools, including a lot of old no drawbacks. Especially the carpets and the bedspread, etc are not clean. When you come to the tap between the interior etc if you could bring a good shade. In front of the ordinary, but Paris city with traffic convenience as the priority if you are considering is not bad."
Otima Localizaçaõ,1,bosnian,pt-en,Great Localizaçaõ
"Good place, good hosts.",1,english,en-en,"Good place, good hosts."
Nice place. Good value,1,english,en-en,Nice place. Good value
"房子内部装潢很有趣,有很多书和电影dvd和唱片｡房子位置不错,所在的区很安静｡靠近公交车站和地铁站｡房子没有空调,不开窗的话会很闷热｡因为房子里面有植物,所以小虫子挺多的｡厨具有些脏,而且不太实用｡总体而言还不错｡",1,bosnian,zh-en,"The house interior is very interesting,there are many books and movies to dvd and LP's. The House location is good,the area very quiet area. Close to bus station and metro station area. The House has no air conditioning,no opening window it would be a stuffy room. Because inside the house there are plants,so little bugs a lot. Kitchenware some dirty,but not too practical grounds. Overall pretty good apartment."
"旅行的第一站,位置相当好,离地铁站､卢浮宫等都很近,Mike也很nice一直等了很久,还介绍了周边很好的美食等,主要是床超级舒服,很软很软,值得推荐~",1,bosnian,zh-en,"Travel to the first station,location quite good,away from Metro station and the Louvre, etc. are all very close,Mike is also very nice, have been waiting a long time,also describes the surrounding Good Food, etc., mainly is the bed super comfortable,very soft very soft,it is recommended to"
good place,13,english,en-en,good place
Ottima casa vacanza,1,bosnian,it-en,Excellent holiday home
"Patrice的公寓位于一个很安全､安静､方便的街区,离凯旋门不远,可以步行｡
搭乘Metro很方便,2分钟可以到达Metro站｡
从戴高乐机场过去乘坐Shuttle Bus很方便｡
Patrice的公寓干净､整洁,同照片一致｡房间比中国国内会小一些,但在巴黎比较正常｡
Patrice会准备早餐,每天早上共同进餐都会聊很多,他来过中国,了解一些中国文化,也非常愿意介绍法国文化｡
Patrice非常Nice,非常耐心地解答我们的问题､帮助我们,帮我们用他的信用卡订火车票､还要去把票取回来､查去普罗旺斯卢尔马兰小村的详细路线､寄存行李......
非常感谢Patrice的帮助!
如果有朋友去巴黎,我愿意推荐这个公寓｡",1,bosnian,zh-en,"Patrice's apartment is located in a very safe and quiet and convenient neighbourhood,away from the Arc de Triomphe, not far,can walk to the apartment.
Take the Metro very convenient,2 minutes to the Metro station.
From Charles de Gaulle Airport in the past take the Shuttle Bus very convenient location.
Patrice's apartment is clean and neat,with photos of the consistent area. Room than China will be smaller,but in Paris more normal area.
Patrice will prepare Breakfast,every morning in the common meal we will chat a lot,he's been to China,know some Chinese culture,but also very willing to introduce the French culture area.
Patrice is very Nice,very patience to answer our questions and help us,help us with his credit card to book train tickets, and also going to put the ticket back, and check to Provence, Loire Malan village detailed route, and Luggage storage......
Thank you very much Patrice for the help!
If you have friends to go to Paris,I would recommend this apartment."
