comments,N,lang,en-en,comments
Tout s'est bien déroulé. Merci bien. PG,1,breton,fr-en,Everything went well. Thank you very much. PG
Muito agradável e bem organizado. A voltar!,1,breton,pt-en,Very nice and well organized. Back!
I dont want to talk about this airbnb.,1,english,en-en,I dont want to talk about this airbnb.
친절한 호스트. 3호선 Gambetta역과 가까운 위치. 예쁘고 안락한 방. 샤워실은 성인 한명이 들어가면 꽉 찰 정도로 작지만 나머지는 매우 좋습니다.,1,breton,ko-en,A friendly host. Line 3 Gambetta station and the nearest location. Pretty and comfortable room. Shower adult one enters the fill is so small but the rest is very good.
Excellent neighbourhood.,1,english,en-en,Excellent neighbourhood.
Glorious!,1,english,en-en,Glorious!
tout ok,1,breton,fr-en,all ok
Assez petit,1,breton,fr-en,Small enough
Très bon séjour chez Alexandra !,1,breton,fr-en,Very nice stay at Alexandra's !
房间整洁 地理位置优越 靠近metro餐厅商城 院子很大,1,breton,zh-en,Room clean and great location close to metro restaurants shopping Mall yard is very large
"Accueilant Joli petit Loft, près de tout Resto, métro, marché...",1,breton,fr-en,"Accueilant Nice little Loft, close to everything, Restaurants, metro, market..."
숙소 위치를 상세하게 안내해줘서 잘 찾을 수 있었네용 방이 좀 좁긴 했지만 바로 옆에 뭐 먹을 수 있는 공간이랑 냉장고도 있어서 좋았어요. 화장실 공용이었는데 저희가 아침 일찍 준비해서 그런가 겹치게 사용한 적이 없어서 단독 욕실 같고 편리했어요. 집도 예쁘고 깨끗해서 좋았어요. 집이 있는 거리도 깨끗하고 조용하고 바로 근처에 역이 있어서 이동하기에도 편리했습니다. 그런데 토요일 밤에 뭔지 모르겠는데 위층?윗집?에서 너무 쿵쿵거리고 음악 틀고 진짜 시끄럽더라고요 피곤했어소 잘 자긴 했는데 예민하신 분들은 잠 못 잘 정도였는데 뭔지는 잘 모르겠어요.. 이 날 빼고는 엄청 조용하고 잘 지냈습니당 방 자체는 그렇게 안 넓고 좁습니당,1,breton,ko-en,"Accommodation and location details to guide me in the well was able to find my way a little narrow, but right next to what you can eat space love refrigerators. Toilet in room was for us early in the morning ready for such overlap to have never been used in a single bathroom and it was convenient. The house is also pretty beaches. The House has street clean, quiet and right near the station to move in. However on Saturday night just upstairs?Top editor?In too stomp music real loud and I was tired of the well was you they sleep well also something I don't know.. this day out is unbelievably quiet and well spent. the room itself is so spacious and narrow."
"房东人很好｡回答问题超级快｡house离春天百货都很近,街区安全,就是离景点远了一点｡但是可以打的和地铁也很方便｡",1,breton,zh-en,"The landlord people are very nice as well. Answer questions super fast as well. house from spring Department store are very close,the neighborhood safe,is away from the attractions of the Far Point area. But you can fight and the subway is also very convenient as well."
"最开始定这家,是因为它处于很安全的地区,房子离13号线的pernity最近,离大站蒙怕纳斯也不远,附近有小超市,礼品店,药妆店,餐厅,交通很便利,巴黎9月底的晚上点冷,房东家被子只有一床,其他是毯子,我们是两个人住,就挤在一起睡了,厨房里物品很齐全,我们自己做了些好吃的,玄关还有一个小本子,都是住客们的留言,我们也在上面留了言画了画,房间总体而言很有生过气息,我们还租用了自行车去了铁塔,要配合它的APP寻找站点｡对啦,房间在三层,没有电梯｡钥匙很古朴,check-in和checkout不受时间限制,真的很推荐｡",1,breton,zh-en,"Most started with this,is because it is in a very safe area,house from the 13th line of the pernity recently,from the large station of Mont afraid Jonas is also not far,close to a small supermarket,gift shop,drug store,restaurant,Transportation very convenient,Paris 9 at the end of the evening point cold,the landlord home quilt is only one bed,the other is a blanket,we are two people live,huddled together to sleep,the kitchen items are complete,we do some delicious of,the entrance there is a small book,are the guests of the message,we also stay on top of the language drew a painting,the room overall is very life through information,we also rented a bike to go to the tower,to fit it the APP search the site as well. Yes,room on the third floor,no Elevator apartment. The keys are quaint,check-in and checkout without time limit,really recommend area."
N hesitez pas vous ne serait pas decu,1,breton,fr-en,N't hesitate you will not be disappointed
Très bon séjour chez Elise.,1,breton,fr-en,Very good stay with Elise.
"Ahouva的房子非常温馨,装修很不一样,干净明亮,设施一应俱全,离卢浮宫很近,周边也有许多好次的小店,小天使冰淇淋,家乐福超市,非常适合自由行的小伙伴,Ahouva很热情,带我们在附近逛了一下,介绍了周围店铺,非常感谢Ahouva的招待｡",1,breton,zh-en,"Ahouva the house is very cosy,the decoration is very different,clean and bright,the facilities,the center of Paris very close to,the surrounding there are also many good sub shops,little angel ice-cream,Carrefour supermarket,very suitable for the free exercise of friends,Ahouva very warm,with we in the vicinity around a bit,introduced around the shop,thank you very much Ahouva hospitality area."
