comments,N,lang,en-en,comments
Всё отлично,1,bulgarian-iso8859_5,ru-en,Everything is fine
숙소에 늦게 도착해서 그런지 방열쇠를 받는 곳과 숙소가 떨어져 있어 고생이 심했습니다. 도착해서 방이 어딘지 찾을 때도 고생이 심했습니다.,1,bulgarian-iso8859_5,ko-en,Stay late on arrival it was a key away and stay away and play was even. Arrived in the room where you're trying to find and students.
Все отлично.,1,bulgarian-iso8859_5,ru-en,Everything is fine.
주인장이 직접사는곳이 아니어서 청소일을 해주시는 아주머니가 기다리고 있다가 키를 받고 간단한 설명을 들을수 있었습니다.(영어소통에 어려움이 있음)  룸자체는 오래된느낌이지만 생활하는데는 어려움없습니다.  2-3명이 묵기에는 좁지만 위치상의 잇점을 감안하면 충분히 머물만한곳입니다.  걸어서 5분내에 퐁네프다리 갈수있고 근처에 식당들 그리고 바로옆에 큰슈퍼있습니다.  럭셔리하진않지만 나름 파리지엥의 느낌을 살릴수있습니다.,1,bulgarian-iso8859_5,ko-en,"Most directly, Our Place is not clean to please is a very the mother is waiting there to receive the key and a brief description to them.(English communication difficulties), the room itself has an old feel, but a life that is without difficulties. 2-3 persons is very narrow, but the location of the advantage given enough to stay here. Within 5 minutes on the Pont Neuf..... we are near restaurants and right next to a large supermarket. Luxury but be aware of your beautiful Parisian feel to live."
에펠탑 꼭대기가 보이는 깨끗한 아파트 입니다.,1,bulgarian-iso8859_5,ko-en,Top of the Eiffel Tower View clean apartment.
"처음 에어비앤비를 경험해 보는 거라서 걱정이 많이 되었었는데 아구스토가 친절하게 잘 응대해줘서 4박5일동안 즐겁게 지냈다. 위치도 바스틸역과 가까워서 파리시내 어디로든 가기 좋았고 밤늦게까지도 사람들이 많이 다녀서 위험한 느낌은 없었다.
주변에 음식점도 많고 마트도 많아서 편리했고
집이 너무 특이하고 예뻐서  계속 기억에 남을 것 같다.",1,bulgarian-iso8859_5,ko-en,"First Airbnb experience that going from a lot to worry about was a Breakfast kindly well great 4 Night 5 days stay. Location Bastille in Paris, the city where all the good and until late at night is also a lot of people so dangerous I did not feel.
Around food more, even more convenient and
The house is so unusual and so continue memorable."
위치 에펠탑에서 걸어서 10분이에요.,1,bulgarian-iso8859_5,ko-en,The location of the Eiffel Tower in 10 minutes.
"생각보다 더 아늑했어요.
물론 마리가 적어 놓은 대로 계단이 많고 좁지만 그건 본인이 선택한 것이니 감수해야죠.
최대한 배려 많이 해주셔서 지내기 편했고 이것저것 챙겨주셔서 좋았습니다.
화장실 깨끗하고 저 비흡연자인데 담배냄새도 침구에서는 안났어요.
위치 매우 좋고 (버스, 지하철모두) 사람 많은 동네라 밤에 다니기도 괜찮았습니다.
가격대비 매우 만족이에요~",1,bulgarian-iso8859_5,ko-en,"Think more than cozy.
Of course, Marie is noted as stairs and narrow, but that's a personal choice that you have.
Up for consideration are the bed and had it Packed very good.
Toilet is clean and I am a non-smoker the smell of cigarettes still bedding in.
The location is very good (bus, metro all) a lot of people of neighborhood at night is also okay.
The.~"
에펠탑에서 아주 가까워서 야경 보러 가기 좋았고 숙소 바로 앞에 큰 마트가 있어서 매우 편리했음. 지하철역도 도보 5분 거리에 있고 바로 앞에 버스 정류장도 있음.,1,bulgarian-iso8859_5,ko-en,The Eiffel Tower is in very close to the night view was good and the hostel is right in front of a large have a very convenient. A subway station is a 5-minute walk and right in front of the bus.
"일단 주인 아주머니가 이웃 눈치를 굉장히 많이 봅니다. 입구에서 무거운 캐리어를 끌지 못하게 하고 들고 오라고 하는 것이 이해가 안 가요. 그리고 밤 11시 이후에 샤워하지 말라는 말은 공지사항에 없었는데, 갑자기 짜증내면서 말해서 당황했습니다. 부엌에서 요리를 하는데, 갑자기 전등을 꺼버리고 낮에 왜 전등을 쓰냐고 뭐라고 하십니다. 우리는 원래 호스트와 많은 좋은 교류를 하지만, 눈치가 보여서 그냥 조용히 있다가 왔어요. 동네는 조용하고, 방이 높아서 경치는 좋아요. 지하철도 가깝습니다. 그치만 웨 여끼가 뼐5개인찌 모류게써엽",1,bulgarian-iso8859_5,ko-en,"Once the landlady neighbor noticed very much. At the entrance a heavy carrier to attract not come, and I understand that. And 11 at night after a shower they say that the notice was not in, but suddenly irritable to say in embarrassment. In the kitchen to Cook, suddenly the lights turn off in the daytime, why the electric light to write? and what to do. We are the original host and many good exchanges but the eyes, is to just be quiet. The neighborhood is quiet, the room is high and the scenery is great. The subway is also close. But Western women feel is 뼐 5 individual bangles of all kinds to by lobe"
깨끗해서 좋았는데 조금 엄격한 면이 있어요.,1,bulgarian-iso8859_5,ko-en,Clean was nice and a bit strict there.
