comments,N,lang,en-en,comments
Excellent,89,english,en-en,Excellent
"Franck's apartment is a jewel in Paris.  Location is a star.   Franck was most accomodating as a host..  We would definitely recommend this accommodation.
Shelley and Jan Nielsen
British Columbia, Canada",1,english,en-en,"Franck's apartment is a jewel in Paris.  Location is a star.   Franck was most accomodating as a host..  We would definitely recommend this accommodation.
Shelley and Jan Nielsen
British Columbia, Canada"
"Great hosting from Pascal, clear communication. 
Very nice place - quiet yet literally 2 steps away from busy cafés/restaurant. 
i recommend!",1,english,en-en,"Great hosting from Pascal, clear communication. 
Very nice place - quiet yet literally 2 steps away from busy cafés/restaurant. 
i recommend!"
Comfortable,2,english,en-en,Comfortable
"L'allotjament està molt ben situat i és perfecte per passar-hi uns dies sol o amb parella. A més, la Léna ha estat molt atenta amb nosaltres.",1,catalan,ca-en,"The accommodation is very well located and is the perfect place to spend a few days alone or with a partner. In addition, the Léna has been very attentive with us."
"Didier est sympa accueillant, le studio est très propre ,le quartier calme ",1,catalan,fr-en,"Didier is friendly welcoming, the studio is very clean ,quiet area "
Quartier calme,1,catalan,fr-en,Quiet area
Great apartment !,1,english,en-en,Great apartment !
La zona es sencillamente perfecta.,1,catalan,es-en,The area is simply perfect.
"Elise é un host meravigliosa,molto premurosa nei confronti dei suoi ospiti,l'appartamento é molto grazioso e corrispondeva esattamente alla descrizione dell'annuncio.


 (Website hidden by Airbnb) Grazie Elise per la tua ospitalita'

 (Website hidden by Airbnb) Alessandro & Marco",1,catalan,it-en,"Elise is a host that is wonderful,very caring towards his guests,the apartment is very nice and corresponded exactly to the description of the ad.


(Website hidden by Airbnb) Thanks Elise for your hospitality

(Website hidden by Airbnb) Alessandro & Marco"
Excellent accueil. Propre. Proche des transports.,1,catalan,fr-en,Excellent welcome. Own. Close to transport links.
"Loft fantàstic a un lloc cèntric de París, recomanable!",1,catalan,ca-en,"Loft is fantastic in a very central place to stay in Paris, highly recommended!"
Très bien. Chambre clean et bon accueil ! Super qualité prix !,1,catalan,fr-en,Very well. Room clean and good host ! Super quality for price !
Excelente!!,2,catalan,es-en,Excellent!!
