comments,N,lang,en-en,comments
"Skvěle situovaný 2+0 hned vedle obchodního domu Bon Marche. Komu nevadí bydlení v přízemí s metrem hned pod úrovní bytu a s plísní ve sprchovém koutě, můžu jedině doporučit. ",1,czech-iso8859_2,cs-en,"Perfectly situated 2+0 next to the department store the Bon Marche. Who doesn't mind living in a ground floor with the subway right below the apartment and mold in the shower corner, I can only recommend. "
집도 사진과 비슷했고 온수도 잘나오고 편하게 지냈습니다. 침대도 넓어서 둘이 지내기 충분했구요~ 무엇보다 sevres babylone 지하철역에서 걸어서 3분 내외에 집이 있어서 이동이 편리했습니다.,1,czech-iso8859_2,ko-en,The House photo was similar with and helped us whenever they could and tidy. The bed is also wider in the two was enough to get to What than the sevres babylone Metro Station 3 min walk from my house in this convenient.
Very nice place.,8,czech-iso8859_2,en-en,Very nice place.
"Absolutne super zazitek, s hostilem jsme se sice nepotkali, ale ani tak nebyl zadny problem najit, dostat se. Byt byl velmi utulny a melo to spravnou atmosferu;) dostupnost absolutne bezproblemova, 5 min od RERka C, a 5 minut do druhe strany na metro. Sousedctvi bez problemu, pekarny, bary velmi utulne. Byli jsme v parizi 5 dni a maximalni spokojenost, vrele doporucuji.",1,czech-iso8859_2,cs-en,"Absolutely super sensation, with hostilem we may have met, but even so was no problem to find, get. The apartment was very utulny and melo's right.;) the availability of absolutely bezproblemova, 5 min from RERka C, and 5 minutes to the other side of the metro. Sousedctvi without problems, do bars very utulne. We were in paris 5 days and the maximum satisfaction, I highly recommend."
Ok,92,czech-iso8859_2,en-en,Ok
Very nice,36,czech-iso8859_2,en-en,Very nice
Had a very nice stay!!,1,czech-iso8859_2,en-en,Had a very nice stay!!
Very nice ! Thank u,1,czech-iso8859_2,en-en,Very nice ! Thank u
Nice host,7,czech-iso8859_2,en-en,Nice host
A very nice host!!!!,1,czech-iso8859_2,en-en,A very nice host!!!!
Nice,48,czech-iso8859_2,en-en,Nice
Very nice place!,19,czech-iso8859_2,en-en,Very nice place!
Cozy place.. very nice host :) see you next time!!!,1,czech-iso8859_2,en-en,Cozy place.. very nice host :) see you next time!!!
"Celý příjezd proběhl naprosto v pořádku. Valérie s námi celou dobu komunikovala a pomáhala nás navést na to správné místo. Trochu jsme byli překvapeni z 5. patra bez výtahu. Pokud tedy nemáte rádi schody, tak se na to připravte :-) Překvapení na vás čeká přímo v ulici, kde pravidelně stojí 4 prostitutky staršího věku. Pokoj je opravdu maličky, ale útulný. Pokud neplánujete moc často zůstávat v bytě, tak úplně stačí. Jen s počtem zásuvek se budete prát :-)",1,czech-iso8859_2,cs-en,"The whole arrival was perfectly fine. Valerie with us the whole time she communicated and helped steer us to the right place. We were surprised of the 5. floor without elevator. So if you don't like stairs, so be prepared :-) Surprises are waiting for you right in the street, where regularly is 4 prostitutes older age. The room is really a little man, but cozy. If you don't plan on very often to stay in the apartment, so all you need. Just with the number of drawers you will fight :-)"
"Příjezd a poskytnuté informace k bytu od majitele byly přesné, s ubytováním nebyl žádný problém. Byt vypadal přesně jako na fotografiích a byl dostačující. Nachází se ovšem jinde, než je uvedeno na mapce v nabídce ubytování, dál od centra, ale dostupnost je i tak skvělá. Byt byl čistý i když trochu zaprášený. Byli jsme lehce rozpačitý z koupelny, která je OPRAVDU MALÁ. S wifi jsme neměli první 4 dny vůbec problémy a pak najednou přes den nešla skoro vůbec a večer trochu lépe, tak už jsme to neřešili. Pro krátkodobý pobyt byl akorát.",1,czech-iso8859_2,cs-en,"Arrival and the information provided to the apartment from the owner were accurate, with the accommodation was no problem. The apartment looked exactly like on the photos and was sufficient. Located but elsewhere than shown on the map in the offer of accommodation, distance from the center, but the availability is so great. The apartment was clean although a bit dusty. We were slightly embarrassed from the bathroom which is REALLY SMALL. With wifi we didn't have the first 4 days at all the problems and then all of a sudden during the day didn't go hardly at all and in the evening a little bit better, so we've addressed it. For a short stay was just right."
"Nice,very very nice
",1,czech-iso8859_2,en-en,"Nice,very very nice
"
Todo muy bueno,2,czech-iso8859_2,es-en,All in all very good
Nice house,6,czech-iso8859_2,en-en,Nice house
Ok place,1,czech-iso8859_2,en-en,Ok place
Very nice flat!,1,czech-iso8859_2,en-en,Very nice flat!
