comments,N,lang,en-en,comments
Koselig praktisk leilighet i et fantastisk område av Paris! Trygt og godt og stille! Veldig hyggelige restauranter i nærmiljøet! Flott base for en herlig helg i Paris! Hit kommer vi gjerne tilbake!!,1,danish,no-en,"Cosy, convenient apartment in a fantastic area of Paris! Safe and nice and quiet! Very nice restaurants in the neighborhood! Great base for a wonderful weekend in Paris! Here we come gladly back!!"
"Min søn og jeg boede 3 nætter i Nolwenn og Didiers lejlighed. Fra jeg bookede opholdet gik der meget kort tid før jeg modtog en positiv og informativ respons, som var meget betryggende, idet det var første gang jeg selv skulle benytte Airbnb på en rejse.
Lejligheden så fuldstændig ud som på billederne og der var rent og pænt. Vi fik en grundig indføring i de praktiske ting af Didier, som var venlig og imødekommende. Lejligheden lå helt perfekt med kort afstand til metro og de vidunderlige seværdigheder på Montmartre. Det var også en stor hjælp at kunne lade bagagen stå noget af afrejsedagen, da vi skulle afsted om aftenen. Vi håber en dag at kunne vende tilbage.",1,danish,da-en,"My son and I stayed 3 nights in Nolwenn and Didier apartment. From the time I booked the stay went there a very short time before I received a positive and informative response, which was very reassuring, as it was the first time I even had to use Airbnb on a trip.
The apartment is as complete as in the pictures and was clean and neat. We got a thorough grounding in the practical things of Didier, who was friendly and welcoming. The apartment was perfect with short distance to the metro and the wonderful sights in Montmartre. It was also a great help to be able to leave your luggage something the day of departure since we were leaving in the evening. We hope one day to be able to return."
"Dette er en skjult perle. Nydelig leilighet, rent og pent og i ett koselig nabolag. Nærhet til kollektivtransport og verten svarte raskt og tydelig. Tommel opp!",1,danish,no-en,"This is a hidden gem. Lovely apartment, clean and tidy, and in a cosy neighbourhood. Proximity to public transport and the host responded quickly and clearly. Thumbs up!"
"Fik en fin velkomst efter aftalt tidspunkt. Rigtig dejligt sted - fantastisk tagterrasse og masser af shoppe og spise muligheder i nærheden. her kunne det fremlagte kort ikke bruges - kunne simpelhen ikke tyde det. Desværre var der ikke helt så rent som man kunne ønske sig - især køkkenet trængte. Manglende en del småting, toiletpapir, opvasketabs, håndsæbe, ting som jeg havde forventet bare var der.
Stadigvæk en rigtig god oplevelse!",1,danish,da-en,"Got a nice welcome after the agreed time. Really nice place - fantastic roof terrace and plenty of shopping and dining options nearby. here could be the presented card can not be used - could simply not decipher it. Unfortunately there was not quite as clean as one could desire - especially the kitchen needed. The lack of a part of little things, toilet paper, it, hand soap, things that I had expected was just that.
Still a really good experience!"
"Et skønt sted kun 100m fra Notre Dame, og i gåafstand til mange lokaliteter. Værtinden Lisa, er utrolig sød og hjælpsom.",1,danish,da-en,"A great location only 100m from the Notre-Dame, and within walking distance to many sites. The hostess, Lisa, is incredibly sweet and helpful."
Ett fint boende i mysigt område!,1,danish,sv-en,A nice accommodation in a cosy area!
"Jeffs lejlighed var skøn og hjemlig, den gav en fantastisk følelse, og gjorde vores ophold i Paris til en bedre oplevelse! Jeff vag god til at give os tips til nærliggende spisesteder, metroer og seværdigheder og dette sætter vi stor pris på! 10/10",1,danish,da-en,"Jeff's apartment was great and homely, it gave a great feeling, and made our stay in Paris for a better experience! Jeff vague good to give us tips for nearby eateries, the metro and the sights and this appreciate very much! 10/10"
...as being at home...(or perheps better...),1,danish,en-en,...as being at home...(or perheps better...)
"Havde et fantastisk ophold i Michels lejlighed. Michel var den perfekte vært, han startede vores ophold med en guided tur i lokalområdet. Beliggenheden var perfekt, vi følte os som lokale. Kan varmt anbefales, vi kommer selv gerne igen.",1,danish,da-en,"Had a great stay in Michel's apartment. Michel was the perfect host, he started our stay with a guided tour in the local area. The location was perfect, we felt like locals. Highly recommended, we even like again."
"Fik i forbindelse med lejeaftalen en fremragende service, da vi havde private forhold, der gav lidt udfordringer. Axel og Michelle var her meget flexible og forstående.
Modtog inden rejsen en fin og fyldestgørende beskrivelse af lejligheden, transport hertil og med personlige anbefalinger om seværdige steder og oplevelser i Paris. 
Meget hurtig respons på alle henvendelser.
Axel og Michelles lejlighed er hyggelig og meget velbeliggende i et roligt område med kort afstand til Latinerkvarterets centrum. Uden for den """"""""værste"""""""" turisme og med en meget lokal stemning i en typisk boligopgang for området. 10 minutters gang derfra er man for enden af Rue Muffetard, som blev vores daglige indgang til at gå på opdagelse i Latinerkvarteret og det øvrige Paris.
Lejligheden er vel udstyret og vi følte os meget hurtig hjemme.
En god seng at sove i med en dejlig dobbeltdyne.
Vi kunne bestemt have lyst til et gensyn med stedet - og selvfølgelig Paris! ",1,danish,da-en,"Received in connection with the lease agreement an excellent service, when we had personal issues, who gave a little challenges. Axel and Michelle was very flexible and understanding.
Received within the journey a fine and full description of the apartment, transportation therefor, and with personalized recommendations of touristic places and experiences in Paris. 
Very quick response to all inquiries.
Axel and michelle's apartment is cozy and very well located in a quiet area with short distance to the Latinerkvarterets centre. Outside of the """"""""the worst"""""""" tourism and with a very local atmosphere in a typical boligopgang for the area. A 10-minute walk away is the one at the end of the Rue Muffetard, which was our daily entrance to go and explore the Latin quarter and the rest of Paris.
The apartment is well equipped and we felt us very fast at home.
A good bed to sleep in with a nice duvet.
We could certainly have a desire for a reunion with the place - and of course Paris! "
Netter Kontakt,1,danish,de-en,Nice Contact
"Jeg har en meget positiv oplevelse af The apartment. Beskrivelsen og de viste fotos svarede fuldt ud til virkeligheden. Det er en optimal lejlighed  - der er alt hvad du behøver ifht. køkkenudstyr etc. Virkelig fedt indrettet og man havde lyst til at tilbringe tid der. Placeringen var også super ifht. metroen, som lå lige overfor. Kvarteret  hvor lejligheden ligger var ikke specielt spændende, men det gjorde ikke noget når man så let kunne hoppe på offentlig transport.
Amélie var en super vært - hun var hurtig til at svare på beskeder og meget venlig.
Klart anbefalelsesværdig - vi ville gerne bo der igen!",1,danish,da-en,"I have a very positive experience of The apartment. The description and the photos shown corresponded fully to reality. It is an optimal apartment - there is everything what you need compared to. kitchenware etc. Really cool decorated and you had the urge to spend time there. The location was also super compared to. the metro, which was just across the street. The neighborhood where the apartment is located was not particularly exciting, but it did not do anything when you could easily hop on public transport.
Amélie was a super host - she was quick to reply to messages and very friendly.
Clearly recommendable - we would gladly stay there again!"
"De bedste anbefalinger til Brigitte-Maries bolig i Paris.
Meget tjekket før og under ophold.
Meget venlig og hjælpsom uden at være påtrængende.",1,danish,da-en,"The best recommendations for Brigitte-Marie's home in Paris.
Much checked before and during the stay.
Very friendly and helpful without being intrusive."
"Lejligheden ligger i et dejligt område med masser af cafeer, butikker og restauranter. Der er roligt og ingen gadestøj, da lejligheden ligger inde i en lille gård. Der er hyggeligt og alt fungerer perfekt i lejligheden. ",1,danish,da-en,"The apartment is located in a nice area with lots of cafes, shops and restaurants. There is quiet and no street noise as the apartment is inside a small farm. There is cosy and everything works perfectly in the apartment. "
"Min kæreste og jeg var en forlænget weekend i Paris og landede 21.30 i Orly-airport vi tog en taxa til lejligheden ca. (€35) og ca. 25min. Lejligheden ligger i et virkelig dejligt område tæt på restauranter, shopping og barer (dog ingen larm i lejligheden). Mami viste os lejligheden og fik et par tips ift. spisning. 
Afgangen tilbage til København var kl. 21.30 og vi fik lov til at blive i lejligheden hele dagen indtil vi skulle af sted- virkelig dejligt!
Alt i alt en god oplevelse!     ",1,danish,da-en,"My girlfriend and I had a long weekend in Paris and landed after 21: 30 in Orly airport we took a taxi to the apartment approx. (€35) and ca. 25min. The apartment is in a really nice area close to restaurants, shopping and bars (but no noise in the apartment). Mami showed us the apartment and got a few tips ift. dining. 
Exit back to Copenhagen and was at. 21: 30 and we were allowed to stay in the apartment all day until we were leaving - really nice!
All in all a good experience! "
"Vi havde en meget positiv oplevelse! Lejligheden ligger helt perfekt - midt i Le Marais i okay gåafstand til Notre Dame, Place des Vosges, Bastillen, Louvre osv. Derudover ligger den tæt på metroen og masser af shoppingmuligheder. Lejligheden ligger i en baggård, så det er minimalt med larm fra gaden om natten. Der ligger et supermarked i stueetagen, perfekt når man som os gerne selv vil lave morgenmad, drikke lidt vin og have lidt mad i køleskabet. Smuk udsigt over Paris' tage. Meget rummeligt badeværelse med badekar. Lejligheden ligger på 5. sal uden elevator, så det skal man lige tage med i overvejelserne. Rent, pænt og virkelig perfekt til et par eller to venner. Mami er en rigtig god værtinde. Vi havde virkelig god kommunikation hele vejen igennem. Vi fik lov at tjekke ind sent (omkring midnat) og lade vores bagage stå i lejligheden til vi skulle i lufthavnen om aftenen. Vi har kun positivt at sige om hele opholdet og har intet at udsætte på Mami som vært. Vi vil helt sikkert  booke denne lejlighed en anden gang.",1,danish,da-en,"We had a very positive experience! The apartment is absolutely perfect - in the heart of Le Marais in okay walking distance to Notre Dame, Place des Vosges, the Bastille, the Louvre, etc. In addition to that are the close to the subway and plenty of shopping. The apartment is located in a backyard, so it is minimally with the noise from the street at night. There is a supermarket in the ground floor, perfect if you like us like yourself will make breakfast, drink some wine and have some food in the fridge. Beautiful views over Paris' rooftops. Very spacious bathroom with a bath. The apartment is on the 5. floor without elevator, so you need to just take into consideration. Clean, neat and really perfect for a couple or two friends. Mami is a really good hostess. We had really good communication the whole way through. We were allowed to check in late (around midnight) and leave our bags in the apartment until we were in the airport in the evening. We have only positive things to say about the entire stay and have no complaints at Mami as the host. We will definitely book this apartment another time."
"Hyggelig lille lejlighed, centralt, tæt på Bastille-pladsen og Metro og i livligt kvarter.",1,danish,da-en,"Cozy little apartment, centrally located, close to the Bastille square and the Metro and in a lively neighbourhood."
"Vi er en familie på 2 voksne og 3 børn og boede hos Sophie i fem nætter. 
Sophie var yderst imødekommende og gæstfri og har hele vejen igennem været nem at komme i kontakt med. Der ligger en mappe i lejligheden med gode råd til blandt andet restauranter og seværdigheder, men Sophie vil også meget gerne hjælpe, hvis der er noget, man har specielt brug for. Fx bestilte hun taxi til lufthavnen til os, hvilket er helt rart, når ens fransk ikke ligefrem er flydende. 
Lejligheden er super hyggelig og meget charmerende. Her bor en ægte pariserinde :-). Der er hvad man har brug for, og det er nemt at føle sig hjemme. Den ligger centralt på Montmartre - meget tæt på et super hyggeligt butiks- og cafékvarter, som absolut er et besøg værd.
Vi vil helt sikkert komme igen, hvis vejen nogensinde kommer forbi Paris en anden gang!
",1,danish,da-en,"We are a family of 2 adults and 3 children and stayed with Sophie for five nights. 
Sophie was extremely welcoming and hospitable and has been easy to come in contact with. There is a folder in the apartment with the good advice to, among others, restaurants and attractions, but Sophie would also like to help, if there is something you specifically need. Fx ordered the she taxi to the airport for us, which is quite nice when one's French is not exactly fluent. 
The apartment is super cozy and very charming. Here lives a true pariserinde :-). That is what you need, and it is easy to feel at home. The hotel is centrally located in Montmartre - very close to a super nice shopping and cafékvarter, which is definitely worth a visit.
We will definitely come again, if the road ever come by Paris another time!
"
"Sophie er den perfekte værtinde. Alt var lagt til rette til vores besøg med info og lokale tips. Lejligheden ligger centralt og var en god base, hvor vores børn kunne slappe af, når vi ikke var ude i byen. Lejligheen er personlig og godt indrettet. Som et ekstra plus var børnene begejstrede for at der er et pokestop i lejligheden.
Vi kan kun anbefale Sophie som en fleksibel og kompetent værtinde og hendes lejlighed som et godt alternativ til et hotelværelse. Kim",1,danish,da-en,"Sophie is the perfect hostess. Everything was laid right for our visit with info and local tips. The apartment is centrally located and was a good base, where our children could relax when we were not out in the city. Lejligheen is personal and well decorated. As an extra plus was the kids excited about there is a pokestop in the apartment.
We can only recommend Sophie as a flexible and competent hostess and her apartment as a great alternative to a hotel room. Kim"
"Laures skønne lejlighed gjorde vores ophold i Paris super skønt. Den er pæn, ren, lækkert indrettet og med gode faciliteter. Og især har den en fantastisk udsigt ud over hele Paris! Laure var god at kommunikere med, og hun sørgede for, at det var let for os at finde lejligheden, få nøglen og begynde vores eventyr!",1,danish,da-en,"Laures wonderful apartment made our stay in Paris although super. It is neat, clean, nicely furnished and with good facilities. And especially, it has a fantastic view over Paris! Laure was good to communicate with, and she made sure that it was easy for us to find the apartment, get the key and begin our adventure!"
Skøn lejlighed centralt i Paris i den rigtigt hyggelige Rue Montorgueil. Lejlighed er tæt på Metro og man er i gå afstand til mange steder i Paris. Lejligheden var meget let at finde ud fra den beskrivelse og de billeder vi havde modtaget af Jean-Francois. Vi havde en rigtig god kommunikation med Jean-Francois og da vi havde brug for hans hjælp under vores ophold var han meget hurtigt til at svare. Vi kommer gerne igen og anbefaler gerne denne skønne lejlighed til jer som vil bo godt og centralt.,1,danish,da-en,"Great apartment in central Paris, in the true cosy Rue Montorgueil. Apartment is close to Metro and in walking distance to many sites in Paris. The apartment was very easy to figure out from the description and the pictures we had received of Jean-Francois. We had a really good communication with Jean-Francois and since we needed his help during our stay he was very quick to respond. We will gladly come again and recommend this lovely apartment to you will stay good."
Marais er fantastisk og leiligheten ligger perfekt til.,1,danish,no-en,The Marais is fantastic and the apartment is perfectly located.
"Vi tilbragte en uge i Eiffel Tower Tradition nær Montparnasse tårnet. Og vi nød det i fulde drag.

Vores vært Brandan er professionel, meget venlig og utrolig hjælpsom. Han har gjort sig stor ulejlighed for at gæsterne kan få en god oplevelse. I lejligheden forefandtes en ”Housemanuel” med alle praktiske informationer.

Lejligheden er en ca. 35 m2 stor Studio på 9 sal i en pæn Parisisk ejendom bestående af stor stue, en pænt badeværelse, med badekar og et fint køkken med alt, hvad der behøves. Ideel for 2 personer. 

Lejligheden er pænt møbleret i gammel parisisk empire-stil, med en sofa, et spisebord, 4 stole og så med en seng, der kunne slås op mod væggen, så den ikke tog plads, når den ikke var i brug.

Det bedste var imidlertid den ca. 10m2 store ugenerte altan. Wow, sikken en udsigt over de parisiske tage og ikke mindst Eiffeltårnet og de andre spændende seværdigheder, som Triumf Buen og Panteon – selv Sacre Coeur på den anden side af Seinen kunne ses i klart vejr. En vidunderlig følelse at spise morgenmad på den kølige nordvestvendte altan og at se solnedgangen og Eiffeltårnet lyse.

WiFi var der også i lejligheden og det fungerede hurtigt og stabilt.

Lejligheden ligger lige over for den store Montparnasse station med både RER- og 4 metrolinjer. I området er en masse spændende restauranter for enhver smag.  Rundt om hjørnet lå flere supermarkeder. 

Den kun 120 cm brede seng var lige lovlig smal til 2 personer. Havde der blot været en ekstra seng eller en sovesofa.

Vi var der på nogle dejlig varme sommerdage. Det betyder også varme nætter, og da kunne vi godt have ønsket os en bedre aircondition end den meget larmende ventilator og en lige så larmende aircooler/varmepumpe.

Lejligheden er som udgangspunkt i fin stand og nydeligt rengjort, men går man lidt tættere på, virker den lidt træt. Flere steder trængte til en opstramning, f.eks. stak der søm ud af panelet og dørhåndtag sad løst. Ting som let kan løses ved en gennemgang. Rykkede man lidt på sofaen kunne man se, at rengøringen havde glemt et støvsuge der.    

Alt i alt en pragtfuld oplevelse, selv på grund af de små skønhedsfejl. Og vi ville ikke være bange for at anbefale stedet og Brandan som vært.
",1,danish,da-en,"We spent a week in the Eiffel Tower Tradition near the Montparnasse tower. And we enjoyed it to the full.

Our host Brandan is professional, very friendly and incredibly helpful. He has done a great deal of trouble in order that guests can get a good experience. In the apartment appeared a ”Housemanuel” with all practical information.

The apartment is a approx. 35 m2 Studio on 9 floor of a nice Parisian property, consisting of large living room, a nice bathroom, with a bath and a nice kitchen with everything needed. Ideal for 2 persons. 

The apartment is nicely furnished in old parisian empire style, with a sofa, a dining table, 4 chairs and a bed that could be turned up against the wall, so it does not take space when not in use.

The best, however, was the ca. 10m2 large secluded balcony. Wow, what a view over the parisian roofs and, not least, the Eiffel tower and the other fascinating sights, such as the Triumph Arch and the Pantheon – even the Sacre Coeur on the other side of the Seine river could be seen in clear weather. A wonderful feeling to have breakfast in the cool nordvestvendte the balcony to watch the sunset and the Eiffel tower light up.

WiFi was also in the apartment and it worked fast and stable.

The apartment is located right across the large Montparnasse station with both the RER and 4 metro lines. In the area are a lot of exciting restaurants to suit every taste. Around the corner lay several supermarkets. 

The only 120 cm wide bed was just legal narrow for 2 people. There had just been an extra bed or a sofa bed.

We were there on some nice hot summer days. It also means warm nights, and since we could well have wished for a better air conditioning than the very noisy fan and a just as noisy aircooler/heat pump.

The apartment is in good condition and nicely cleaned, but if you go a little closer, it seems a little tired. Several places needed a shakeup, f.ex. pricked nails out of the panel and the door handle was loose. Things that can be easily resolved by a review. Moved it a bit on the couch you could see that housekeeping had forgotten a vacuum there. 

All in all a wonderful experience, although because of the small blemishes. And we would not be afraid to recommend the site and Brandan as the host.
"
To voksne og tre tenåringsbarn hadde det helt supert i Aurore sin flotte leilighet - vi var overveldet over fantastisk service og topp beliggenhet for å utforske Paris,1,danish,no-en,Two adults and three teenage children had it completely great in Aurore's lovely apartment - we were overwhelmed by the awesome service and top location for exploring Paris
"Meget fin lejlighed , levede flot op til forventningerne. Nød rigtig meget gårdhaven i sommervarmen. 
Gårdhaven var delt med andre beboere, de var meget venlige og imødekommende. 
Værtsfamilien havde vi rigtig fin kommunikation med , de svarede meget hurtigt tilbage på mails . De var meget imødekommende og fleksible.
Fin og dejlig åben gade, ikke langt til skønt grønt område, fantastisk cafe lige overfor , hvor der var god stemning og rimelige priser. 
",1,danish,da-en,"Very nice apartment , lived well up to expectations. Enjoyed very much the patio in the summer heat. 
The patio was shared with other residents, they were very friendly and accommodating. 
The host family we had really nice communication with , they responded very quickly back to e-mails . They were very accommodating and flexible.
Fine and nice open street, not far to the wonderful green area, great cafe just across the street , where there was a good atmosphere and reasonable prices. 
"
"Rachael and Fabians lejlighed er en god rummelig lejlighed, og den direkte udgang til den lille gård giver en hyggelig spisekrog.
Det er nemt at kommunikere med Rachael og Fabian inden ankomst og vi fik grundig information om lejligheden og gode tips om cafeer, restauranter og indkøbs muligheder i nærområdet. Beliggenheden er fin i forhold til sightseeing og området spændende at lære at kende.",1,danish,da-en,"Rachael and fabian's apartment is a great spacious apartment and direct access to the small courtyard gives a cozy dining area.
It is easy to communicate with Rachael and Fabian prior to arrival and we got thorough information about the apartment and great tips on cafes, restaurants and shopping opportunities in the surrounding area. The location is fine in relation to sightseeing and the area interesting to get to know."
"Fin lejlighed med ok beliggenhed, en del af Paris man sjældent ser gode grønne områder og parker.",1,danish,da-en,"Nice apartment with ok location, a part of Paris you rarely see good green areas and parks."
"I kan forvente en dejlig lejlighed i et område som emmer af liv, forskelligheder, forskellige minoriteter og atmosfære. Vi følte os på intet tidspunkt utryg eller lignende. Vi sætter pris på at opleve Paris fra flere sider - byen har mange lag. Ude området er et kæmpe + her indtog vi hver morgen morgenkaffen inden vi jagtede turistmålene.",1,danish,da-en,"You can expect a nice apartment in an area full of life, diversity, different minorities and atmosphere. We felt at no time in the creepy or the like. We appreciate to discover Paris from several pages - the city has many layers. The outside area is a big + here, we took every morning a coffee before we chased the tourist destinations."
"vlotte samenwerking, nette kamer, rustige buurt, kleine badkamer met goede douche, goed bed, positieve ervaring, danku!
",1,danish,nl-en,"good collaboration, nice room, quiet area, small bathroom with good shower, good bed, positive experience, thank you!
"
"Rigtig hyggelig lejlighed centralt i Marais. Helt perfekt til en forlænget weekend i Paris. Ren og pæn. Eneste minus var, at rengøringsdamen troede vi først ankom dagen efter, så der gik et par timer fra ankomst indtil vi kunne få nøgler.",1,danish,da-en,"Really nice apartment centrally located in the Marais. Absolutely perfect for a long weekend in Paris. Clean and neat. Only minus was that the cleaning lady thought we first arrived the day after, so there went a few hours from arrival until we could get the keys."
"Vi synes lejligheden var charmerende og funktionel - alt var simpelthen i orden og vi kunne bruge ALT i lejligheden bl.a det det store musikudvalg. Værten Philippe var venlig, faktuel og saglig i sine informationer og desuden var alt praktisk beskrevet i en mappe. Vi satte stor pris på tagterrassen både morgen, middag og aften og vi nød den store stilhed når man trådte ind i gården væk fra al trafik. Nabolaget var spændende med både Les Canals og med Science center parken. Desuden var der let adgang til Metroen.",1,danish,da-en,"We think the apartment was charming and functional - everything was simply alright and we could use EVERYTHING in the apartment bl.a it the great song selection. The host Philippe was friendly, factual and unbiased in its information and in addition everything was conveniently described in a folder. We appreciated the rooftop terrace both for breakfast and dinner and we enjoyed the great silence when the man stepped into the yard away from all the traffic. The neighborhood was exciting with both the Les Canals, and with the Science center park. In addition, there was easy access to the Metro."
"Stedet var meget hyggeligt og passer meget godt til et par. En rigtig flot indretning, især i stuen og soveværelset. Ligger meget tæt på indkøb, bager, gode spisesteder og metro (som fører dig til centrum på kort tid). For at vende fokus tilbage til lejligheden, så havde den desværre nogle mangler, som blandt andet var renligheden. Lejligheden føltes ikke særlig ren, med et ødelagt toiletsæde, forkalket brusehoved, beskidt bestik og tallerkener og køkken. Alt dette forværres af de mange fluer (bananfluer?) som sværmede i hele lejligheden, hvilket selvfølgelig forværre oplevelsen. Men jeg siger tak til Mattis for at lade os bo i hans lejlighed og stor tak til Mariano for hans varme velkomst!",1,danish,da-en,"The place was very cozy and fits very well to a few. A really nice decor, especially in the living room and the bedroom. Located very close to shopping, bakery, good restaurants and the metro (which takes you to the centre in a short time). In order to turn the focus back to the apartment, so had the unfortunately, some shortcomings, which among other things was the cleanliness. The apartment felt not very clean, with a broken toilet seat, calcified shower head, dirty cutlery and crockery and kitchen. All of this is compounded by the many flies (fruit flies?) which swarmed in the entire apartment, which, of course, worsen the experience. But I say thank you to Mattis for letting us stay in his apartment and a big thank you to Mariano for his warm welcome!"
"Som sagt: hun møtte meg ved ankomst og avreise. Beliggenheten, leiligheten svarte til beskrivelsen. Den var nøktern men komfortabel.",1,danish,no-en,"That said, she met me upon arrival and departure. Location, the apartment matched the description. It was sober but comfortable."
