comments,N,lang,en-en,comments
"Goede aankomst. Franck reageert snel op al je vragen. Ideale locatie wat betreft bereikbaarheid. Het appartement heeft goede voorzieningen
En de bedden zijn goed. Het ziet er gezellig uit. Het is """"cleane"""" hotelkamer , je kunt er goed verblijven.",1,dutch,nl-en,"Good arrival. Franck is quick to respond to all your questions. Ideal location in regards to accessibility. The apartment has good facilities
And the beds are good. It looks nice. It is """"clean"""" hotel room , you can stay."
"Prima appartement in hartje Parijs! Erg aardige en behulpzame gastheer. Zeer compleet ingericht en met gemak ruim genoeg voor vier personen. Metro station op steenworp afstand, maar je kan ook lopend naar bijvoorbeeld de Notre Dame en andere bezienswaardigheden. Ligt in leuke buurt tegen le Marais aan. Aanrader!",1,dutch,nl-en,"Excellent apartment in the heart of Paris! Very nice and helpful host. Fully furnished with ease and spacious enough for four persons. Metro station on the doorstep, but you can also walk to the Notre Dame and other sights. Located in nice, at le Marais. !!!"
"Het appartement is een aanrader. Rustig gelegen maar centraal. Alles is er aanwezig en netjes. Het ontvangst van Pascal was hartelijk en hulpvaardig. 
Een leuke plek. ",1,dutch,nl-en,"The apartment is a must. Quiet location but central. Everything is present and clean. The reception of Pascal was friendly and helpful. 
A fun place to be. "
"Prettig appartement, goed gelegen, 3 minuten lopen naar de metro. 
Gezellige buurt waar je lekker kunt ontbijten.
Het appartement is van alle gemakken voorzien. Slaapbank slaapt goed. 
Eigenaresse is erg behulpzaam en vriendelijk.
Echt een aanrader!",1,dutch,nl-en,"Nice apartment, well located, 3 minutes walk to the metro. 
Cozy neighborhood where you can have a nice breakfast.
The apartment is equipped with all modern conveniences. Sofa bed sleeps well. 
Owner is very helpful and friendly.
Really a must!"
Prima en hartelijk welkom geheten.,1,dutch,nl-en,Fine and warm welcome.
"Leuk appartement op loopafstand van de sacre ceour. Goede ontvangst, wifi aanwezig en in een leuke buurt. 

Het was wel erg warm en voor de deur parkeren bleek toch niet mogelijk. 
",1,dutch,nl-en,"Nice apartment within walking distance of the sacre ceour. Good reception, wi-fi, and in a nice neighborhood. 

It was very hot and the door in the car appeared not possible. 
"
"Prima appartement.Niet erg groot en niet erg licht,maar gezellig,van alle gemakken voorzien,goed gelegen en een goede prijs/kwaliteit verhouding.",1,dutch,nl-en,"Excellent apartment.Not very big and not very light,but cozy,equipped with all modern conveniences,well located and a good price/quality ratio."
"Prima appartement. Alles klopte met de informatie vooraf. Het appartement is niet zo groot, maar erg efficiënt en smaakvol ingedeeld. Prijs kwaliteit verhouding is oké. Nolwenn en haar man hebben ons gastvrij ontvangen en goede tips voor restaurantjes in de buurt gegeven. Het appartement ligt in hartje Monmartre en als wij weer eens naar Parijs gaan zouden wij graag naar dit appartement terugkeren. bedankt Nolwenn , tot ziens en merci",1,dutch,nl-en,"Excellent apartment. Everything was right with the information in advance. The apartment is not so big, but very efficiently and tastefully laid out. Price quality ratio is okay. Nolwenn and her husband have us a warm welcome and good tips for restaurants in the vicinity. The apartment is located in the heart of Montmartre, and if we return to Paris we would like to this apartment return. thanks Nolwenn , good-bye and merci"
"Fijn appartement!  Prima locatie ..een uitstekende plek om parijs te leren kennen.
Metro vlakbij, goede winkels en restaurants om de hoek. Appartement heeft alles wat je verblijf aangenaam maakt.
Aan te bevelen voor iedereen!!
Groet  Aspasia Yocarini",1,dutch,nl-en,"Fine apartment! Great location ..a perfect place for paris to get to know.
Metro nearby, good shops and restaurants around the corner. Apartment has everything your stay a comfortable one.
Recommended for everyone!!!
Salute Aspasia Yocarini"
Very fine studio,1,dutch,en-en,Very fine studio
