comments,N,lang,comment_in_english
"Asunto oli hyvällä paikalla lähellä metroa. Asunnon alapuolella oli suoraan isokauppa ja nurkan takana oli leipomo josta sai aamulla tuoretta leipää ja muita herkkuja. Asunto oli neljännessä kerroksessa ja talossa ei ole hissiä. Asunto kaipasi imurointia mutta muuten ihan siisti. Jos et siedä tupakan hajua niin asunto ei silloin sovellu, pesuhuoneen tuuletuskanavien kautta asuntoon tuli kokoajan tunkkainen tupakan haju. Ilmastointi toimi ja nettiyhteys oli nopea ja toimiva. Kiitos Davidille majoituksesta!",1,finnish,"The apartment was in a good location close to the subway. The apartment below was directly isokauppa and around the corner was the bakery where you got up in the morning fresh bread and other goodies. The apartment was on the fourth floor and the house has no elevator. The apartment was in need of vacuuming but otherwise pretty neat. If you can't tolerate the smell of tobacco so the apartment does not then apply, wash room ventilation channel through the apartment all the time the stale tobacco smell. The air conditioning worked and the internet connection was fast and functional. Thank you David for the accommodation!"
"Erinomainen sijainti kahden rannan välissä. Yllättävän rauhallinen ympäristö. Painovoimainen ilmanvaihto. Lämmin vesi toimii! Pienimuotoinen ruoanlaitto sujuu, gourmet kannattaa jättää ranskalaisille. Pieni sininen lätkä kannattaa pitää suihkun viemäriaukon päällä, estää viemärin hajun. 2. krs, 40 rappusta. Erittäin miellyttävä ja auttavainen vuokraisäntä.",1,finnish,"Excellent location between two beaches. A surprisingly calm environment. Gravity ventilation. Warm water works! Small-scale cooking goes gourmet best left to the French. A small blue badge you should keep the shower drain hole, to prevent sewer odor. 2. floor, 40 steps. Very pleasant and helpful landlord."
Francois oli erittäin ystävällinen ja vastaanotti meidät lämpimästi. Hän neuvoi todella hyvin asunnon toiminnot. Kiitos yöpymismahdollisuudesta lentoa odottavalle pikaiselle visiitille!,1,finnish,Francois was very friendly and received us warmly. He advised really well for housing functions. Thanks to the overnight possibility of flight expectant for a short stay!
"Asunnos sijainti oli mahtava, sillä paikasta toiseen pääsi liikkumaan kätevästi metrolla, joka lähti läheltä. Minusta oli myös mahtavaa, että asunto oli lähellä Montmartren aluetta, mistä minä pidin erityisesti! Asunto oli juuri niin pariisilainen kuin kuvittelinkin :) Asunto oli rauhallisessa talossa, ja vaikka seinät olivatkin ohuet, niin ääniä ei kauheasti kuulunut muista huoneistoista. Lea oli myös mahtava host ja vastasi viesteihin nopeasti.",1,finnish,"The apartment location was great, as from one place to another move conveniently on the subway, which went close. It was also great that the apartment was close to the Montmartre area, what I like in particular! The apartment was just as parisian as I imagined :) the Apartment was quiet in the house, and although the walls were thin, so sound doesn't really belong in the other apartments. Lea was also a great host and replied to messages quickly."
"Asunnon sijainti oli erinomainen, asuinalue oli ihana ja ruokakaupat, leipomot yms. löytyivät ihan läheltä. Asunto oli rauhallinen, WiFi toimi hyvin. Osa kalusteista ja pinnoista on elämää nähnyt, mutta kaikki tarpeellinen normaaliin elämiseen löytyi.",1,finnish,"The apartment location was excellent, in a residential area was lovely and the food stores, bakeries, etc. they found nearby. The apartment was quiet, WiFi worked well. Part of the fixtures and surfaces is the life seen, but everything necessary for normal life to find."
Mukava pieni kohde lähellä hyviä kulkuyhteyksiä. Katu ja alue oli rauhallinen juna-aseman läheisyydestä huolimatta.,1,finnish,A nice small target close to good transit connections. Street and the area was quiet at the train station despite the proximity of the.
"Siisti ja mukava ylimmän kerroksen läpitalon huone(isto). Hyvällä paikalla keskellä Montmartren aluetta, ikkunoista kivat näkymät yli kattojen. Eric vastasi nopeasti viesteihin ja kaikki toimi. Suosittelen lämpimästi!",1,finnish,"Clean and comfortable top floor through the house room(isto). Good location in the middle of the Montmartre area, the windows provide a nice view over the rooftops. Eric responded quickly to messages and everything worked. I recommend warmly!"
"交通便利,地铁公交都方便｡安全,周围美食较多｡房东人很好,在我们的朋友遇到困难时,积极的帮助我们｡同时也是一对爱旅行爱生活的夫妻,我们在最后一晚聊了很多,Cristina还帮助我们第二天如何到达里昂车站坐车,我们都很喜欢Cristina和Metteo｡",1,finnish,"The transportation is convenient,Metro, Bus are easily available. Security,around food more available. The landlord people are very good,in our friends encounter difficulties,and actively help our area. At the same time is also a pair of love travel love life of the couple,we were in last night chat a lot,Cristina also helped us the next day how to reach Gare de Lyon by car,we are very fond of Cristina and Metteo's."
"Majoitus oli hyvä kokemus! Kohteella oli loistava sijainti metroon, nähtävyyksiin ja kauppoihin nähden. Asunto oli siisti ja siellä toimi kaikki hyvin. Sänky oli mukava ja wifi nopea. ",1,finnish,"The accommodation was a good experience! The target area was an excellent location to metro, attractions and shops. The apartment was clean and there work all well. The bed was comfortable and wifi fast. "
Majoituimme asuntoon kolmen ystäväni kanssa uutenavuotena. Sijainti oli erittäin kätevä ja näkymä parvekkeelta upea. Kaikki tapahtui erittäin sujuvasti ja Lucian kanssa oli helppo kommunikoida. Suosittelen ehdottomasti asuntoa ja palaisin sinne uudestaan!,1,finnish,We stayed at the apartment with three friends in the new year. The location was very convenient and the view from the balcony stunning. It all happened very smoothly and with Lucia was easy to communicate with. I would definitely recommend the apartment and would come back there again!
"Loistava sijainti, tilava asunto ja äärimmäisen avulias majoittaja (kiitos Jerome!). Keittiössä ja olohuoneessa isot ikkunat, joiden ääressä oli hyvä juoda aamukahvia ja katsella ihmisiä alhaalla kadulla. Ja vaikka asunto on heti liikehuoneistojen yläpuolella, ei asuntoon kantautunut minkäänlaista melua. Katu on mukavan pieni ja rauhallinen.",1,finnish,"Great location, spacious apartment and extremely helpful host (thanks Jerome!). The kitchen and living room with large windows, a desk was good to drink morning coffee and watch the people down on the street. And even though the apartment is now move to the apartment above, not to the apartment from any noise. The street is nice and small and quiet."
"Isabelle ja asuntonsa olivat aivan mahtavia! Tyylikäs ja siisti huoneisto sijaitsee loistavalla alueella. Sisäänkirjautuminen ja majoittuminen eivät olisi voineet olla helpompia, sillä Isabelle on varmasti yksi Airbnb:n mukavimpia ja avuliaimpia majoittajia. Asunnon hinta-/laatusuhde on erinomainen, emmekä vaimoni kanssa keksi mitään parannettavaa. Toivottavasti pääsemme pian takaisin!",1,finnish,"Isabelle and her apartment were great! Stylish and neat apartment is located in an excellent area. Check-in and accommodation could not have been easier, because Isabelle is certainly one of Airbnb's nicer and more helpful to accommodate people. The apartment price/quality ratio is excellent, and we with my wife come up with anything for improvement. I hope we get back soon!"
tutto ok.,1,finnish,everything is ok.
"Hieno kokemus! Lilou on erittäin ihana emäntä, lämminhenkinen ja joustava. Vastaa ystävällisesti ja nopeasti viesteihin, eli yhteydenpito toimii. Asunto oli erittäin söpö ja mukava viidelle. Afrikkalaisnaapurusto oli todella eläväinen ja mielenkiintoinen. Viihdyimme hyvin! Voin suositella rennoksi majapaikaksi tätä vaihtoehtoa. Saimme nukkua rauhassa eikä minkäänlaisia ongelmia esiintynyt.",1,finnish,"Great experience! Lilou is a very lovely hostess, warm and flexible. Responding kindly and quickly to messages, i.e. communication works. The apartment was very cute and comfortable for five people. African neighborhood was really lively and interesting. We spent well! I can recommend a relaxed place to be this option. We got to sleep in peace and no problems appeared."
Hyvä sijainti ja lähellä aukiolla lukuisia ravintoloita! Taksit eivät aina osanneet tulla oikeaa kautta yksisuuntaiselle kadulle!,1,finnish,"Good location and close to the square, numerous restaurants! Taxis are not always able to come right through the one-way street!"
"Viihtyisä, siisti ja kaunis asunto loistosijainnilla! Hienot näkymät. Maud on ystävällinen ja vieraanvarainen majoittaja. Häneltä sai myös paljon loistavia vinkkejä lähialueen tapahtumiin, ravintoloihin ja kauppoihin. ",1,finnish,"Cozy, neat and beautiful apartment in the splendor of the location! Great views. Maud is a friendly and hospitable host. Him also received a lot of great tips on nearby events, restaurants and shops. "
"Asunto oli viihtyisä ja siisti ja kooltaan juuri sopiva kahdelle ihmiselle. Chokri oli todella avulias majoittaja. Asunnon sijainti oli myös hyvä, ja oli helppo liikkua julkisilla ja kävellen ympäri kaunista Pariisia. Asunto sijaitsee eloisalla alueella, jossa on paljon ravintoloita ja baareja. Suosittelen tätä kohdetta!",1,finnish,"The apartment was cozy and clean and the size is just right for two people. Chokri was a very helpful host. The apartment location was also good, and was easy to move around in public and walking around beautiful Paris. The apartment is located in a lively area with lots of restaurants and bars. I recommend this items!"
"Asunnon sijainti on mahtava, Charles on mukava isäntä, ja paikka on remontoitu hyvällä maulla. Pariisilaistunnelmaa aidoimmillaan, lähellä hienoja nähtävyyksiä ja hyviä ravintoloita -kaikkea mitä hyvältä matkalta voi odottaa.",1,finnish,"The apartment location is awesome, Charles is a nice host, and the place has been renovated with good taste. Parisian atmosphere in its truest form, close to some great attractions and good restaurants -everything that a good trip can wait."
Kun menimme asunnolle kaikki oli juuri niinkuin oli sovittu. Avaimien nouto ja kaikki muukin onnistui erittäin helposti. Asunto oli mukava ja rauhallisella alueella ja sinne oli mukava palata pitkän päivän jälkeen Pariisissa. Ehdottomasti voisin mennä uudestaan.,1,finnish,When we got to the apartment everything was just as I had agreed. The key pickup and everything else managed very easily. The apartment was comfortable and in a quiet area and it was nice to return to after a long day in Paris. Absolutely I could go again.
Erittäin hyvä ohjeistus majoittumiseen ennen saapumista sekä asunnossa. Pariisilaisittain todella siisti. Hyväkuntoinen kylpyhuone. Majoittaja helposti tavoitettavissa.,1,finnish,Very good guidance for accommodation before arrival and in the apartment. Paris style really cool. Good condition bathroom. Host easily accessible.
"房东和他的朋友都很热情,我们第一天到达的时候很晚,我们没有吃晚餐,他们善意的给了我们许多充饥的面包和饼干,并且与我们分享他妈妈手做的果酱,果酱非常美味｡另外,选择他家是因为我喜欢他们家窗外的风景｡这个区的人非常友好,陌生人愿意为你提供力所能及的帮助,让我对巴黎的印象大大改善｡Antoine家住的公寓离地铁7号线很近,去玩儿很方便｡",1,finnish,"The landlord and his friend are very warm,the first day we arrived very late,we did not eat dinner,they Good gave us many eat of the bread and biscuits,and share with us his mom's Hand-Made Jam,Jam is very delicious, and great views. In addition,selected his home because I like their home, the landscape outside the window area. This area the people are very friendly,strangers willing to provide you with whatever help,let me of Paris impression greatly improve the area. Antoine who lives in the apartment away from the No. 7 subway line very close,to play. very convenient location."
