comments,N,lang,en-en,comments
"Un petit nid fouiller douillet situé dans  appartement tranversant, très lumineux avec une fenêtre dans chaque piece! Situé au 4ème étage, sans ascenseur, même après une bonne journée de marche ne nous a pas paru pénalisant. Mais au contraire, dès l'entrée dans l'appartement,  une belle décoration, très confortable, bien équipé, un VRAI lit en 160cm digne de se nom vous, bous fera oublié les marchés montées....un vrai airbnb, où Anne nous confie son lieux de vie en toute confiance. 
Notre hôtes a été très réactive et nous a facilité notre séjour pour tous les points demandés.
Nous reviendrons chez Anne c'est sur si l'occasion se présente à nous.
 Merci encore.",1,french,fr-en,"A small nest to excavate snug located in apartment tranversant, very bright with a window in each piece! Located on the 4th floor, without lift, even after a good day of walking has not appeared penalizing. But, on the contrary, as soon as you enter the apartment, a beautiful decoration, very comfortable, well equipped, a REAL bed 160cm worthy to name you, bous will be forgotten the market climbs....a true airbnb, where Anne gives us his places of life with confidence. 
Our host was very responsive and made it easy for us our stay for all the points requested.
We will come back with Anne it is on if the opportunity presents itself to us.
Thank you again."
"Appartement spacieux, propre,clair, et calme à proximité de Montparnasse, dans un quartier vivant. Anne est très disponible. Je recommande vivement.",1,french,fr-en,"Spacious apartment, clean,clear, and calm in the vicinity of Montparnasse, in a lively district. Anne is very available. I highly recommend it."
"Merci à l’hôte pour sa ponctualité à nous accueillir et les très bonnes indications pour s'y rendre. La localisation est vraiment excellente, très centrale. Endroit très tranquille. Attention, il faut bien considérer que la photo du studio est prise avec un grand angle; les dimensions réelles sont surprenantes! L'appart est plutôt sombre, les fenêtres donnant sur cour intérieure exiguë. Rapport qualité/prix intéressant.
 ",1,french,fr-en,"Thank you to the host for his punctuality to welcome us and very good indications to get there. The location is really excellent, very central. Very quiet place. Attention, it must consider that the photo of the studio taken with a wide angle; the actual dimensions are surprising! The apartment is rather dark, the windows facing inner courtyard cramped. Price/quality ratio is interesting.
"
"Nous avons été très bien accueilli à notre arrivée. excellent timing, remise des clefs et explications des points essentiels de la procédure. Studio très calme, et sûr, en plein coeur de Paris. On sent que le propriétaire fait confiance aux occupants, ce qui est très appréciable.",1,french,fr-en,"We were very well welcomed at our arrival. excellent timing, handover of keys and explanation of the essential points of the procedure. The Studio is very quiet, and safe, in the heart of Paris. You can feel that the owner trusts to the occupants, which is very nice."
Appartement 5 sur 5 !,1,french,fr-en,Apartment 5 on 5 !
"Studio de petite taille très bien situé au coeur de Paris mais avec canapé-lit dont le matelas est de qualité médiocre, et douche dont l'accès n'est pas aisé pour obèses (que nous ne sommes pas).",1,french,fr-en,"Studio small and very well located in the heart of Paris but with a sofa-bed in which the mattress is of poor quality, and a shower whose access is not easy for obese (we are not)."
Very comfortable apartment in excellent location.,1,french,en-en,Very comfortable apartment in excellent location.
"L'appartement est idéalement situé. Il n'y a pas de bruit, ce qui est appréciable à Paris. Il y a beaucoup de poussière dans l'appartement. Désagréable, surtout pour quelqu'un qui y est très sensible. Tout le centre de Paris peut se faire à pied à partir de l'appartement, formidable. ",1,french,fr-en,"The apartment is ideally located. There is no noise, which is appreciable in Paris. There is a lot of dust in the apartment. Unpleasant, especially for someone who is very sensitive. All of central Paris can be done on foot from the apartment, great. "
"Bel appartement bien place à Paris! 
A recommander
",1,french,fr-en,"Beautiful apartment well located in Paris! 
Has recommend
"
"Nous avons eu une réponse immédiate et Franck nous attendait à l'heure dite.
L'appartement est très joli, tout à fait comme sur les photos. Propre et calme, toutes les fenêtres donnent sur des cours. Le lit est en peu petit mais très confortable et le clic-clac est très confortable également .
L'appartement est super bien situé dans le marais. Bref, que des points positifs et hautement à recommander!!",1,french,fr-en,"We had an immediate response, and Frank was waiting for us at the appointed time.
The apartment is very nice, quite like on the pictures. Clean and quiet, all windows overlook on the course. The bed is little bit small but very comfortable and the sofa bed is very comfortable also .
The apartment is super well located in the marais. In short, that points positive, and highly recommend!!"
"Franck est trés discret dans son accueil et j'ai apprécié la confiance qu'il nous à fait .L'appartement était conforme à nos attentes même plus. Propreté, pratique, confort, rien ne manquait. Nous avons été enchanté. Quartier agréable calme. Pour une première expérience airbnb c'est une réussite. Merci",1,french,fr-en,"Franck is very discreet in her home and I enjoyed the trust that he has us .The apartment was in line with our expectations even more. Clean, convenient, comfortable, nothing was lacking. We have been delighted with it. Nice neighborhood quiet. For a first experience with airbnb it was a success. Thank you"
